probe id,Control,0.25mg-6hr,0.25mg-24hr,0.25mg-48hr,0.50mg-6hr,0.50mg-24hr,0.50mg-48hr,,,,,,,,,,,,,,,,,,,
PH_hs_0000002,80.06349206,48.23809524,48.44444444,57.14285714,51.55555556,36.43650794,31.0952381,,,,,,,,,,,,,,,,,,,
PH_hs_0000003,13.46031746,15.14285714,17.77777778,16.68253968,19.98412698,19.38095238,14.11111111,,,,,,,,,,,,,,,,,,,
PH_hs_0000004,74.76984127,134.6111111,129.2539683,79.6984127,77.63492063,72.05555556,79.11111111,,,,,,,,,,,,,,,,,,,
PH_hs_0000005,6.063492063,5.896825397,6.920634921,8.666666667,9.873015873,9.396825397,5.920634921,,,,,,,,,,,,,,,,,,,
PH_hs_0000006,149.2698413,113.952381,129.3968254,147.7380952,168.1666667,125.7619048,147.4126984,,,,,,,,,,,,,,,,,,,
PH_hs_0000007,258.7539683,322.5,285.3650794,241.6190476,349.2936508,215.1825397,185.4285714,,,,,,,,,,,,,,,,,,,
PH_hs_0000008,345.2301587,282.8968254,254.968254,323.8253968,264.047619,854.0396825,364.6825397,,,,,,,,,,,,,,,,,,,
PH_hs_0000009,178.3492063,331.8730159,299.2142857,236.1746032,263.6428571,303.984127,178.6904762,,,,,,,,,,,,,,,,,,,
PH_hs_0000010,15453.7619,13308.38095,13288.42857,13883.69841,12645.11111,14116.06349,14167.15873,,,,,,,,,,,,,,,,,,,
PH_hs_0000011,7754.52381,9456.873016,8860.650794,9977.47619,9145.960317,4171.031746,8852.02381,,,,,,,,,,,,,,,,,,,
PH_hs_0000012,36.65079365,25.42857143,18.42857143,13.41269841,24.94444444,56.12698413,42.46031746,,,,,,,,,,,,,,,,,,,
PH_hs_0000013,403.984127,306.9126984,275.7619048,287.1269841,455.8571429,348.9365079,279.9603175,,,,,,,,,,,,,,,,,,,
PH_hs_0000014,83,102.0793651,105.1984127,97.5952381,77.84126984,88.19047619,65.32539683,,,,,,,,,,,,,,,,,,,
