"","x"
"1","KCNS2"
"2","LYRM4"
"3","GIPR"
"4","NFKBIZ"
"5","TM2D1"
"6","GBGT1"
"7","CD40"
"8","FGL2"
"9","CCL8"
"10","IL18RAP"
"11","CCL19"
"12","TGFBR3"
"13","IL12B"
"14","BCL3"
"15","KIAA1551"
"16","KIT"
"17","SLC1A2"
"18","CECR5-AS1"
"19","PKNOX2"
"20","GJA1"
"21","LRRC1"
"22","MTF1"
"23","PCDHAC1"
"24","MGLL"
"25","CCL7"
"26","CDK11A|CDK11B"
"27",NA
"28","PI4K2B"
"29","42259"
"30","PTGS2"
"31","CKB"
"32","TFEC"
"33","PTX3"
"34","TGFBR3"
"35","LPAR4"
"36","NPPB"
"37","SSTR5"
"38","STEAP4"
"39","PRR18"
"40","MARCKS"
"41","CNP"
"42","PIK3AP1"
"43","CCL2"
"44","METTL21A|CFLAR"
"45","LIN37"
"46","FAM131B"
"47","NLRP2"
"48","DDR1"
"49","LYPD1"
"50","BCL2L1"
"51","KCNQ3"
"52","MYBPC3"
"53","SLC2A6"
"54","RGL1"
"55","CXCL2"
"56",NA
"57","ENO2"
"58","RGSL1"
"59","PKHD1"
"60","IRG1"
"61","SLC39A8"
"62","RELB"
"63",NA
"64","MMP16"
"65","CXXC5"
"66","OR2B6"
"67","PDGFRL"
"68","KAT2A"
"69","AHSP"
"70","ZMIZ1-AS1"
"71","CCDC89"
"72","PRRG1"
"73","OTUD7B"
"74","CSMD2"
"75","GP1BA"
"76","ENTPD7"
"77","FBLN2"
"78","NEMP1"
"79","UGCG"
"80","PCIF1"
"81","SLC7A2"
"82",NA
"83","IQCJ-SCHIP1|SCHIP1"
"84","TSPAN5"
"85","LRG1"
"86","IGF2|INS-IGF2"
"87","TCAF2"
"88","BPIFB6"
"89","APOBEC3A|APOBEC3B|APOBEC3A_B"
"90","GRAMD2"
"91","OR4C46"
"92","BCL6"
"93","PPAPDC1A"
"94",NA
"95","GBP5"
"96","HNRNPCL3|HNRNPCL2|HNRNPCL1"
"97","QPCT"
"98","DLL3"
"99","ZC3H12A"
"100","CEACAM6"
"101","MMP25"
"102","SCN1B"
"103","LRTOMT"
"104","MTRNR2L3"
"105","PRIMA1"
"106","BNIP1"
"107","PLEKHA4"
"108","ARHGDIG"
"109","INSM1"
"110","GJB4"
"111","OR4K5"
"112",NA
"113","BAIAP2L2"
"114","FLVCR2"
"115","CXCL1"
"116","LTC4S"
"117","MYOCD"
"118","TNFSF10"
"119","KRT14"
"120","SAMD14"
"121","PSTPIP2"
"122","RGS5"
"123",NA
"124","TMEM98"
"125","CCL20"
"126","MCOLN2"
"127","CPN2"
"128","CYP7B1"
"129","VCAM1"
"130","SHROOM3"
"131","FPGS"
"132","P3H3"
"133","LIMS2"
"134","ABTB2"
"135","FDCSP"
"136","CXCL9"
"137","MAMLD1"
"138","BTG1"
"139","PDLIM3"
"140","HCAR2|HCAR3"
"141","FCGBP"
"142","GNG4"
"143","ZNF592"
"144","APOBEC3A|APOBEC3A_B"
"145","LOC554223"
"146","ZNF697"
"147","AHR"
"148","NTM"
"149","AOX1"
"150","CPM"
"151","PMAIP1"
"152","GJB2"
"153",NA
"154","STATH"
"155","DMXL2"
"156","TNFAIP6"
"157","KRTAP11-1"
"158","REM1"
"159","RAB27B"
"160","SGCG"
"161","OLIG1"
"162","USP12"
"163","IL7R"
"164","POU2F2"
"165","IFIT1"
"166","ZNF292"
"167","DUSP6"
"168","ACVR2A"
"169","CXCL6"
"170","BAIAP2L1"
"171","KCNQ3"
"172","MT2A"
"173","C4orf3"
"174","CXCL1"
"175","GCH1"
"176","IL18R1"
"177","CPM"
"178","MARCKS"
"179","PIK3CG"
"180",NA
"181","SAMSN1"
"182","MS4A7"
"183","ARHGAP22"
"184","DAPP1"
"185","CASP8AP2"
"186","NFKB1"
"187","GPR158"
"188","CTGF"
"189","ANKRD33B"
"190","VSNL1"
"191","WTAP"
"192","TNIP3"
"193","RAB27B"
"194","TNIP1"
"195","RNF144B"
"196","HRH1"
"197","ATP2B1"
"198","PARM1"
"199","AGPAT9"
"200","STAT5A"
"201","MAFB"
"202","EHD1"
"203","IGFN1"
"204","FEZ1"
"205","GBP5"
"206","CXCL14"
"207","SOD2"
"208","IL7R"
"209","MIR155HG"
"210","PSD3"
"211","CD274"
"212","SLAMF7"
"213","FSD1L"
"214","IFIT2"
"215","CXCL10"
"216","CXCL11"
"217","TFAP2A"
"218","FTHL17"
"219","STAT4"
"220","TNFRSF9"
"221","CRIM1"
"222","ARHGEF40"
"223","SERPINE2"
"224","CXCL3"
"225","TBX20"
"226","JADE2"
"227","CTSC"
"228","ERAP1|LOC101929747"
"229","BIRC3"
"230","TRIM36"
