"","x"
"1","ST3GAL1"
"2","RETNLB"
"3","SYNGAP1"
"4","HIST1H2BO"
"5","COL14A1"
"6","HDAC11"
"7","TMEM35"
"8","RPL10"
"9","ASB16"
"10","TSNAXIP1"
"11","TCP10|TCP10L2"
"12","CCR6"
"13","KIT"
"14","MUC22"
"15","CDK5R1"
"16",NA
"17","MAPT-IT1"
"18",NA
"19","SLC12A2"
"20","TPCN2"
"21","SMYD1"
"22","NTF4"
"23","TSPAN9"
"24","SLC27A1"
"25","ANAPC7"
"26",NA
"27",NA
"28",NA
"29","SIX2"
"30","RTBDN"
"31","PCA3"
"32","FSD2"
"33","HCN4"
"34","ENTPD7"
"35","MZB1"
"36","CLC"
"37","SIGLEC9"
"38",NA
"39","C9orf163"
"40","KCNH6"
"41","BHLHE22"
"42","KCNT1"
"43","TPTE2P5"
"44","PRKACA"
"45","RORA"
"46","WEE2-AS1"
"47",NA
"48","CHODL-AS1"
"49","FGF19"
"50","UXT"
"51","BAZ2A"
"52","SLC22A23"
"53","KCNH2"
"54","ADM5"
"55","CLCN5"
"56","YIF1B"
"57","SH3TC2"
"58","MYL2"
"59","FRA10AC1"
"60","TK2"
"61",NA
"62","SHROOM3"
"63","LZTS1-AS1"
"64","RNF183"
"65","CCDC6"
"66","REV1"
"67","FAM168A"
"68",NA
"69","SLC2A5"
"70","KRT13"
"71",NA
"72","GGN"
"73","MPP7"
"74",NA
"75",NA
"76","UBR2"
"77","JAK3"
"78","LGALS16|LGALS14|LGALS13"
"79","MTRNR2L1"
"80","TIMP3"
"81",NA
"82","C2orf78"
"83","CYTH2"
"84","GJB3"
