"","x"
"1","CETN1"
"2","RPP40"
"3",NA
"4","HEYL"
"5","SLC30A5"
"6","PUS10"
"7","RPE"
"8","TEX2"
"9","CCDC66"
"10","RAB11FIP5"
"11","FPR1"
"12","RAB40AL|RAB40A|RAB40B"
"13","KLHDC2"
"14","TMEM206"
"15","CDCA7"
"16","ABHD8"
"17","TMCO1"
"18","RNASEH2C"
"19","PTPN22"
"20","SURF6"
"21","FLT3"
"22","WFDC1"
"23","MPV17L2"
"24","SLC35A2"
"25","MAP4"
"26","SETD6"
"27","ESRP1"
"28","ACAT2"
"29","KATNAL1"
"30","HSD17B6"
"31","GRK4"
"32","ANAPC7"
"33","LAMP5"
"34","RPL13A"
"35","OSBPL1A"
"36","ADCK3"
"37","PGM2"
"38","POU4F2"
"39","ZBED4"
"40","DDAH1"
"41","CACYBP"
"42","FAM216A"
"43","DNPH1"
"44","NUDT16"
"45","IGSF10"
"46","ELK4"
"47","RIOK2"
"48","ZNF670"
"49","APBA1"
"50","PCYOX1L"
"51","SRPRB"
"52","PSMB1"
"53","RPP14"
"54","ATF6"
"55","WDR59"
"56","CCR2"
"57","IP6K2"
"58","ADK"
"59","SESN1"
"60","CMTM7"
"61","MXI1"
"62","S100PBP"
"63","NSMCE4A"
"64","HHEX"
"65","NLRC3"
"66","FAM117B"
"67","ALS2CR11"
"68","ITFG2"
"69","GLO1"
"70","DNASE2"
"71","PDE7B"
"72","KBTBD7"
"73","CD300C"
"74","METAP1"
"75","C21orf59"
"76","ZNF507"
"77","KCNQ5"
"78","CEP68"
"79","SLC39A11"
"80","ABCC4"
"81","TNNI3"
"82","DUSP3"
"83","FAM105A"
"84","CHORDC1|LOC727896"
"85","HIBCH"
"86","CLUAP1"
"87","KIAA1328"
"88","UXT"
"89","MEF2BNB"
"90","AIMP1"
"91","NT5DC2"
"92","PELI3"
"93","HAUS3"
"94","TMEM203"
"95","MCM6"
"96","FPGT-TNNI3K"
"97","SLC46A3"
"98","ACSF2"
"99","KIAA1462"
"100","EGFL8|PPT2-EGFL8"
"101","PDYN"
"102","GRIP1"
"103","PTK2"
"104","BANK1"
"105","NKX2-4"
"106","ACSS2"
"107","YIF1B"
"108","HDAC4"
"109","BTBD9"
"110","CAPN10"
"111","ALDH6A1"
"112","GIMAP1"
"113","42253"
"114","CYP2U1"
"115","MEGF8"
"116","C3orf70"
"117","NLRC4"
"118","USP51"
"119","PAFAH1B2"
"120","COMMD8"
"121","PTAFR"
"122","TK2"
"123","KLF6"
"124","CHN2"
"125","GNAI1"
"126","CLNS1A"
"127","HAL"
"128","PTPN4"
"129","LEO1"
"130","CDH23"
"131","WDR12"
"132","GABBR2"
"133","FAM65A"
"134","RDH5|BLOC1S1-RDH5"
"135","ERLIN2"
"136","LOC344887"
"137","TTC13"
"138","CCDC6"
"139","ALAD"
"140","RAB3D"
"141","DHX33"
"142","NMNAT3"
"143","PODXL"
"144","FKBP4"
"145","GPD1L"
"146","GPNMB"
"147","KDM6B"
"148","YEATS4"
"149","C1orf228"
"150","PRKAR2B"
"151","PHACTR3"
"152","POLG2"
"153","CCDC112"
"154","AMELY"
"155","CWC27"
"156","RGS16"
"157","MEF2B|MEF2BNB-MEF2B"
"158","CRY2"
"159","C1orf195"
"160","TSFM"
"161","KLRG1"
"162","AKT2"
"163","CENPA"
"164","SMPDL3A"
"165","TMEM71"
"166","UBR2"
"167","SNX7"
"168","RAD1"
"169","S1PR5"
"170","WDR91"
"171","C15orf41"
"172","SPTLC1"
"173","STX2"
"174","MAGEC2"
"175","MEIOB"
"176","NCF1|NCF1B|NCF1C"
"177","FERMT1"
"178","GGCT"
"179","KAZN"
"180","SMIM10"
"181","NCF1C|NCF1|NCF1B"
"182","TERT"
"183","GYPE"
"184","FAM220A"
"185","TFB2M"
"186","LINC01140"
"187","TRMT61A"
"188","AGMAT"
"189","MYB"
"190","DNAJB1"
"191","BPNT1"
"192","C2orf78"
"193","CYTH2"
"194","TRPC2"
"195","CD300LF"
"196","RSRC1"
"197","PCYOX1"
"198","LOC441081"
"199","PACSIN2"
"200","AK2"
"201","KCTD15"
"202","SHMT1"
"203","RASGRP4"
"204","TMEM50B"
"205","NUBPL"
"206","PCGF1"
"207","PQLC3"
"208","ERLIN1"
"209","DLGAP1"
"210","NCF1|NCF1C"
"211","NXPH3"
"212","ABCB10"
"213","NFYC"
"214","ASPH"
"215","CXCR2"
"216","RNF125"
"217","C10orf2"
"218","FAM69B"
"219","TCFL5"
"220","SOAT1"
"221","TMEM214"
"222","PPP1CC"
"223","MTFR1"
"224","NOLC1"
"225","KHDRBS1"
