"","x"
"1","SLC7A7"
"2","PUS10"
"3","ABHD8"
"4","SERPINB2"
"5","CD300A"
"6","RAB33A"
"7","MUM1"
"8","MEIKIN"
"9","HAL"
"10","FAM65A"
"11","RDH5|BLOC1S1-RDH5"
"12","LOC344887"
"13","METTL7A"
"14","GPNMB"
"15","PHACTR3"
"16","C1orf195"
"17","ANKRD55"
"18","PLEKHF1"
"19","CD14"
"20","IFI30"
"21","SAPCD2"
"22","S100P"
"23","MARC"
"24","SERPINB2"
"25","PRR32"
"26","SPTLC1"
"27","TDO2"
"28","MAGEC2"
"29","MEIOB"
"30","NCF1|NCF1B|NCF1C"
"31","NFE2"
"32","NCF1C|NCF1|NCF1B"
"33","IFNL3|IFNL2|IFNL1"
"34","CCL15|CCL15-CCL14"
"35","PTGES3"
"36","CXCL13"
"37","SPATA18"
"38","LGMN"
"39","DNAJB1"
"40","METTL7B"
"41","PLA2G4E"
"42","C2orf78"
"43","SPDYC"
"44","TRPC2"
"45","TMPRSS2"
"46","MMP12"
"47","AKAP1"
"48","STRN"
"49","R3HDM4"
"50","CDR2L"
"51","LY96"
"52","CA2"
"53","LEPROTL1"
"54","BEGAIN"
"55","ERLIN1"
"56","HK2"
"57","KCNH4"
"58",NA
"59","CCR7"
"60","LOC100652807"
"61","NCF1|NCF1C"
"62",NA
"63","MTUS1"
"64","CHST13"
"65","HLA-DQA2"
"66","SVOPL"
"67","IFI27"
"68","HMCN2"
"69","CD180"
"70","SPP1"
"71","IFNL3|IFNL2|IFNL1"
"72","ARHGAP39"
"73","LOC286177"
"74","CLEC12A"
"75",NA
"76","LOC100130370"
"77","POU2F1"
"78","NOP16"
"79","SLC34A3"
"80","CD86"
"81","C10orf2"
"82","RBM19"
"83",NA
"84","FAM69B"
"85","TMEM214"
"86","PADI2"
