"","x"
"1",NA
"2","MRPS12"
"3","MEF2B|MEF2BNB-MEF2B"
"4","RASD1"
"5","TSFM"
"6","FGF2"
"7","VWA7"
"8","ADSSL1"
"9","MRPL34"
"10","TYMP"
"11","AKT2"
"12","KLK15"
"13","DPYSL5"
"14","BCL2L11"
"15","AVPR2"
"16","MTCH1"
"17","UBR2"
"18","TRAPPC3L"
"19","AAK1"
"20","CYP3A7-CYP3A51P"
"21","KBTBD13"
"22","MYO7A"
"23","JAK3"
"24","LGALS16|LGALS14|LGALS13"
"25","CCL26"
"26","LBX2"
"27","GRN"
"28","PCBP3"
"29","SPTLC1"
"30","CCRL2"
"31","APOBR"
"32","NKX1-2"
"33","STX2"
"34","AIP"
"35","TAS1R3"
"36","LRP5L"
"37","INS"
"38","MTRNR2L1"
"39","IFNL3|IFNL2|IFNL1"
"40","DUSP8"
"41","PHYHD1"
"42","TERT"
"43","GRIP2"
"44","RASGRF1"
"45","GYPE"
"46","TLX1NB"
"47","CCHCR1"
"48","CCL15|CCL15-CCL14"
"49","KIAA0195"
"50","TAGLN"
"51","PTPRH"
"52","ALPI"
"53","UBXN6"
"54","SNX29"
"55","CSF1"
"56","PTGES3"
"57","ADAM33"
"58","TRMT61A"
"59","CCNO"
"60","SEL1L"
"61","LOC440704"
"62","SLC5A3"
"63","SPATA18"
"64","PKD1L1"
"65","ARPIN"
"66","CLK3"
"67","ZNF225"
"68","NXPH4"
"69","GIGYF1"
"70","DEFB126"
"71","MCCD1"
"72","CDRT15|CDRT15P1|CDRT15L2|CDRT15P2"
"73","C11orf80"
"74","PLA2G4E"
"75","C1RL-AS1"
"76","ZNF568"
"77","MYOM3"
"78","CRADD"
"79","BCL2L14"
"80","SPDYC"
"81","ERVV-1"
"82","CYTH2"
"83","GPC5"
"84","OLFM1"
"85","POMGNT1"
"86","VPS18"
"87","SMG6"
"88","FDX1"
"89","AKR1B15"
"90","CYB5B"
"91","PPP1R16B"
"92","KRT6C"
"93","NKX2-6"
"94","PACSIN2"
"95","ZNF483"
"96","GSTA5"
"97","C9orf9"
"98","STRN"
"99","R3HDM4"
"100","FBXL18"
"101","CADM3"
"102","DAPK2"
"103","BEGAIN"
"104","TMEM160"
"105","NPVF"
"106","LOC100652807"
"107","UQCRHL|UQCRH"
"108","KLHDC1"
"109","AKR1A1"
"110","KNDC1"
"111","GGTLC2|GGT1|GGTLC1"
"112","ADCK5"
"113","LOC100130370"
"114","RBM19"
"115","SNRPB"
