"","x"
"1","CCDC184"
"2","SLC7A7"
"3","KCNS2"
"4","ADAM19"
"5","PART1"
"6","IGFBP5"
"7","OPTC"
"8","DUSP4"
"9","SMAD6"
"10","DDIT3"
"11","ZSWIM4"
"12","GAL3ST3"
"13","MMP1"
"14","FGFRL1"
"15","SLC22A31"
"16","NR4A2"
"17","FCN1"
"18","IDO1"
"19","GAB1"
"20",NA
"21",NA
"22","CBS"
"23",NA
"24","STC2"
"25","CDK5R1"
"26","YPEL5"
"27","HIST1H2BD"
"28",NA
"29","FAM86B3P"
"30","ANKMY1"
"31","SPATA13"
"32","BHLHE41"
"33","MEIKIN"
"34","TSPAN33"
"35","42259"
"36","GK"
"37","LOXL2"
"38","NAV1"
"39","DOCK11"
"40","KCNE1"
"41","SH3PXD2B"
"42","LYPD1"
"43","RASSF5"
"44",NA
"45","LOC101928841"
"46","CD109"
"47","SRD5A3"
"48","RGSL1"
"49","FAM19A5"
"50","KLHL6"
"51","CTSB"
"52","FBN3"
"53","P2RX7"
"54","OR56A3"
"55","CSMD2"
"56","SLC17A5"
"57","PCIF1"
"58","IQCJ-SCHIP1|SCHIP1"
"59","NR4A3"
"60","FAM49A"
"61","AJUBA"
"62","COL15A1"
"63","RIN2"
"64","SLC8A1"
"65","ANKRD39"
"66","OTUD1"
"67","CMIP"
"68","SNTB1"
"69","IDO1"
"70","DKK2"
"71","MITF"
"72","HAP1"
"73","LINC01104"
"74","ARHGDIG"
"75","ABCA1"
"76","DIRAS2"
"77",NA
"78",NA
"79","CCL1"
"80","TGIF1"
"81","LINC01563"
"82","PKIG"
"83","PPM1M"
"84","IRAK2"
"85","HS3ST3A1"
"86","FAM65B"
"87",NA
"88","OR10C1"
"89","MEIKIN"
"90","PCDHGA12"
"91","CCDC85A"
"92","TMOD3"
"93","TMEM98"
"94","CD1B"
"95","C11orf96"
"96","HOXD11"
"97","F2RL3"
"98","TNS3"
"99",NA
"100","WFDC6"
"101","INHBE"
"102","RNF183"
"103","SLC12A8"
"104","TRIM2"
"105","SLCO1A2"
"106","PIP5K1B"
"107","CARNS1"
"108","CCDC6"
"109","LMTK2"
"110","WDR62"
"111","GLRA4"
"112","UTRN"
"113","CDS2"
"114","RBM47"
"115","CCDC144A"
"116","REM1"
"117","ITGB8"
"118",NA
"119","RGS1"
"120","CTRL"
"121","NAV1"
"122","LRFN1"
"123",NA
"124","TSFM"
"125","HECW2"
"126","PLEKHF1"
"127","PRAMEF2|PRAMEF1|PRAMEF14"
"128","AKT2"
"129","LPAR5"
"130","CYTIP"
"131","AVPR2"
"132","CDH24"
"133",NA
"134","ARID5B"
"135","CCDC8"
"136","CD14"
"137","IFI30"
"138","RASGEF1B"
"139","NPHS2"
"140","CHRNA7|CHRFAM7A"
"141","SAPCD2"
"142","LOC101928841"
"143","BAZ2B"
"144","FOXP1"
"145","CCP110"
"146","WDR91"
"147","PCBP3"
"148","MMS22L"
"149","PRR32"
"150","AICDA"
"151","TDO2"
"152","SLC25A52|SLC25A51|LOC494141|SLC25A51P1"
"153","UBE2D1"
"154","STX2"
"155",NA
"156","CTSB"
"157","MUSK"
"158","SYT4"
"159","MTRNR2L1"
"160","OR52E4"
"161","BNIP3L"
"162","SMIM24"
"163","GYPE"
"164","CRYGC"
"165","ANKRD52"
"166","AGMAT"
"167","NRSN2"
"168","CSF1"
"169","FERMT2"
"170","CXCL13"
"171","KLHL24"
"172",NA
"173","OR56A4"
"174","LGMN"
"175","DEFB126"
"176","ZNF662"
"177","CALHM3"
"178","C1RL-AS1"
"179","SCN2B"
"180","OR10G9|OR10G8|OR10G7|OR10G4"
"181",NA
"182","GAB2"
"183","SYNGR2"
"184","MYADM"
"185","KRT38"
"186","EML6"
"187","MMP12"
"188","SH3BP5"
"189","DLG1-AS1"
"190","UBE2J1"
"191","OR2T11"
"192","GRIK5"
"193","PYY2"
"194","SYNPO2L"
"195","SLC38A1"
"196","LY96"
"197","SLC22A20"
"198","ILDR1"
"199","CREBRF"
"200","HK2"
"201","CREB3L1"
"202","EPB41L3"
"203","CCR7"
"204","GRIK2"
"205","TTYH2"
"206","LOC100652807"
"207","DRD5"
"208","HLA-DQA2"
"209","PAG1"
"210","RGS2"
"211","CACNG6"
"212","TOX2"
"213","MTSS1"
"214","PI15"
"215","OSBP2"
"216","TSC22D3"
"217","C14orf80"
"218","ZFP36L1"
"219","CD86"
"220","UNC5CL"
"221","MMP10"
"222","LINC01501"
"223","MLLT4"
"224","TBC1D4"
"225","GARS"
"226","PADI2"
"227","SMARCD1"
"228","GEM"
