"","x"
"1","CCL8"
"2","MUM1L1"
"3","CCL19"
"4","TRAF1"
"5","IL12B"
"6","IDO1"
"7","SERPINB2"
"8","CCL7"
"9","SOCS3"
"10","LAMP3"
"11","CXCL2"
"12","EBI3"
"13","VIM"
"14","RBM45"
"15","IDO1"
"16","DIRAS2"
"17","SYPL2"
"18","CCL1"
"19","CXCL1"
"20","CD80"
"21","CCL20"
"22","LIMS2"
"23","ABTB2"
"24","MAMLD1"
"25","SFRP1"
"26","IL1A"
"27","APOBEC3A|APOBEC3A_B"
"28","SYDE1"
"29","IL23A"
"30","CCL22"
"31","IL7R"
"32","KRTAP10-5"
"33","TNFRSF4"
"34","CXCL6"
"35","CD14"
"36","CXCL1"
"37","CTAGE1"
"38","OBP2A|OBP2B"
"39","LINC00965|LOC105379756|LOC105379215|LOC105377802"
"40","SERPINB2"
"41","FOXI1"
"42","GRIA4"
"43","ITGA2B"
"44","OBP2B|OBP2A"
"45","JPH4"
"46","TRIM3"
"47","PCDHGA2|PCDHGA1|PCDHGA3|PCDHGA4|PCDHGA11|PCDHGA5|PCDHGA10|PCDHG"
"48","PARD3B"
"49","TAAR9"
"50","S100A1"
"51","CTGF"
"52","SERPINC1"
"53","MC2R"
"54","HNRNPA1|HNRNPA1L2|HNRNPA1P10"
"55",NA
"56","EDA2R"
"57","TTYH1"
"58","CXCL13"
"59",NA
"60","TNIP3"
"61","TUBA4B"
"62","IER3"
"63","HYAL1"
"64","NEUROD2"
"65","OR8U1|OR8U9|OR8U8"
"66",NA
"67","ZNF326"
"68","RELL1"
"69","KRTAP5-11|KRTAP5-2|KRTAP5-10"
"70","HDHD1"
"71","HOXC11"
"72","OLFM2"
"73","LYPLA2P2|LYPLA2"
"74","TMEM63B"
"75","LINC00635"
"76","UBXN10"
"77","TMPRSS2"
"78",NA
"79",NA
"80","TMEM39B"
"81","PAX4"
"82","GPA33"
"83","UNC5B"
"84","SNRPB2"
"85","LOC149373"
"86","CCL4L1|CCL4"
"87","OR10H1"
"88","SMYD5"
"89","VWCE"
"90","BCL2A1"
"91","ANAPC1"
"92","POU6F1"
"93","KRT32"
"94","PLIN5"
"95","CPLX3"
"96","IGFN1"
"97","LY96"
"98","S100A3"
"99","ASMT"
"100","PRKG1"
"101","C10orf126"
"102","CYP4F12"
"103","PABPC1L2A"
"104","HMGA2"
"105","CXCL14"
"106",NA
"107",NA
"108","CYP2C18"
"109","PARK2"
"110","PRSS36"
"111","DSCR4"
"112","CXCL8"
"113","ENC1"
"114","SPATA31D4|SPATA31D5P|SPATA31D3|SPATA31D1"
"115","CLRN1-AS1"
"116","MTUS1"
"117","ZSCAN23"
"118","ANKRD24"
"119","FBXL18"
"120","MIR155HG"
"121","TRIM16L"
"122","FXYD2|FXYD6-FXYD2"
"123","MBD2"
"124",NA
"125","CD274"
"126","ANGPTL1"
"127","SVOPL"
"128","IFI27"
"129","OR5M11"
"130","HMCN2"
"131","SLAMF7"
"132","SPP1"
"133","BARX2"
"134","VCY1B|VCY"
"135","PPP1R18"
"136","KRTAP19-6"
"137","PROSER3"
"138","FTHL17"
"139",NA
"140","TUBA1C"
"141","KRTAP5-2|KRTAP5-11|KRTAP5-10"
"142","DNAJC9-AS1"
"143","LOC102724279"
"144",NA
"145",NA
"146","TNFRSF9"
"147","SLC24A2"
"148","IFI6"
"149","DMRT1"
"150","OR51A7"
"151","BAK1"
"152","ACTR3C"
"153","C5orf49"
"154",NA
"155","MTRNR2L9"
"156","ABCG4"
"157","LOC100287823"
"158","SLC35G6|SLC35G5|SLC35G3"
"159","KIRREL3"
"160","C2orf57"
"161","C16orf46"
"162","SLC38A3"
"163","DPP9"
"164","DLC1"
"165","SSX1|SSX8|SSX5|SSX6|SSX4|SSX4B|SSX2|SSX2B|SSX3|SSX7"
"166","NTRK2"
"167","LARGE"
"168","SYT5"
"169","IL1B"
"170","SLC6A18"
"171","GGT3P|GGT1|GGTLC2|GGTLC1"
"172","CHST5"
"173","PELP1"
"174","APOC3"
"175","VWA1"
"176","MRPS23"
"177","NSL1"
"178","VHLL"
"179","TNFRSF10A"
"180","CELSR2"
"181","APOB"
"182","AP1M1"
"183","FAM81B"
"184","CXCL3"
"185","MTHFS|ST20-MTHFS"
"186","LGR6"
"187","GRIA4"
"188","CACNA1F"
"189","ATP6V1G2"
"190","CLASP2"
"191","CDK5R2"
"192",NA
"193","TGFBR3L"
"194","NPB"
"195","SLC12A4"
"196","DLX1"
"197",NA
"198","ADAMDEC1"
"199","RNF187"
"200","DLG4"
"201","HTR3E"
"202","FZD9"
"203",NA
"204","STMN2"
"205","TAS2R31"
"206","ERAP1|LOC101929747"
"207","CCL3"
"208",NA
"209","TNNT3"
"210","LINC01281"
"211","HAND1"
