,int.,,,,,,,,,
ID,CTL,24hr,6hr,3hr,,,,,,
PH_hs_0000002,218.4814815,150.3333333,111.6666667,132.3888889,,,,,,
PH_hs_0000003,176.1481481,161.6111111,168.5833333,212.5,,,,,,
PH_hs_0000004,86.94444444,129.6111111,93.16666667,65.83333333,,,,,,
PH_hs_0000005,3.407407407,2.111111111,4,4.722222222,,,,,,
PH_hs_0000006,9834.407407,11363.83333,10956.5,8953.277778,,,,,,
PH_hs_0000007,270.0740741,272.8611111,265.6111111,363.1944444,,,,,,
PH_hs_0000008,469.7037037,529,607.3333333,513.8611111,,,,,,
PH_hs_0000009,276.1851852,383.0833333,588.0555556,491.8333333,,,,,,
PH_hs_0000010,8660.037037,8110.333333,8352.444444,7924.833333,,,,,,
PH_hs_0000011,179.1851852,118.6111111,86.27777778,91.83333333,,,,,,
PH_hs_0000012,539.3148148,509.2222222,580.6944444,550.4722222,,,,,,
PH_hs_0000013,244.3703704,227.1111111,292.8055556,251.1111111,,,,,,
PH_hs_0000014,344.2962963,352.5555556,271.3611111,324.5555556,,,,,,
PH_hs_0000015,30.88888889,25.27777778,27.72222222,27.55555556,,,,,,
PH_hs_0000016,25.22222222,18.66666667,25.5,24,,,,,,
PH_hs_0000017,11.96296296,8.944444444,8.055555556,8.833333333,,,,,,
PH_hs_0000018,72.64814815,83.44444444,81.38888889,79.77777778,,,,,,
PH_hs_0000019,50.22222222,45.22222222,61.05555556,70.83333333,,,,,,
PH_hs_0000021,87.22222222,92.02777778,128.1111111,104.1111111,,,,,,
PH_hs_0000022,52.42592593,23.5,25.5,23.16666667,,,,,,
PH_hs_0000023,59.42592593,124.3611111,128.9444444,135.1666667,,,,,,
PH_hs_0000024,1131.37037,1202.611111,941.9166667,1041.555556,,,,,,
PH_hs_0000025,87.18518519,67.5,47.33333333,35.44444444,,,,,,
PH_hs_0000027,309.1481481,412.5,417.5833333,533.3611111,,,,,,
PH_hs_0000028,10754.7037,12165.83333,6531.388889,8523.388889,,,,,,
PH_hs_0000029,62.14814815,44.33333333,85.33333333,73.33333333,,,,,,
PH_hs_0000031,8.407407407,7.222222222,12.33333333,12.77777778,,,,,,
PH_hs_0000032,221.1111111,126.2777778,295.9166667,223.6388889,,,,,,
PH_hs_0000033,518.6481481,150.8611111,201.2777778,210.3055556,,,,,,
PH_hs_0000034,28.48148148,33.38888889,42.38888889,55,,,,,,
PH_hs_0000036,1140.5,834.6944444,770.6666667,979.6944444,,,,,,
PH_hs_0000037,371.9259259,325.1944444,297.25,305.3055556,,,,,,
PH_hs_0000038,1080.722222,992.1944444,1101.944444,1314.25,,,,,,
PH_hs_0000039,400.6666667,446.2777778,441.3333333,476.2222222,,,,,,
PH_hs_0000040,1260.814815,761.3888889,740.5555556,670.9444444,,,,,,
PH_hs_0000041,341.3703704,341.6111111,324.2222222,466.7222222,,,,,,
PH_hs_0000043,47.53703704,38.77777778,42.83333333,25.88888889,,,,,,
PH_hs_0000044,58.18518519,59.16666667,51.5,52.33333333,,,,,,
PH_hs_0000045,51.07407407,43.11111111,40.83333333,37.66666667,,,,,,
PH_hs_0000046,64.25925926,38.77777778,58.27777778,67.38888889,,,,,,
PH_hs_0000047,22,18.94444444,23.27777778,23.88888889,,,,,,
PH_hs_0000048,578.5555556,392.4166667,487.6111111,545.7222222,,,,,,
PH_hs_0000049,19.22222222,12.38888889,9.888888889,4.722222222,,,,,,
PH_hs_0000050,24.55555556,20.27777778,19.11111111,16.22222222,,,,,,
PH_hs_0000051,487.1851852,440.2222222,413.3055556,650.3888889,,,,,,
PH_hs_0000052,1529.611111,1480.416667,2083.222222,2053.444444,,,,,,
PH_hs_0000053,84.85185185,58.55555556,141.8055556,119.4166667,,,,,,
PH_hs_0000056,306.7037037,202.1666667,120.4444444,149.2777778,,,,,,
PH_hs_0000057,1146.037037,2238.388889,3090.055556,4912.166667,,,,,,
PH_hs_0000058,180.3703704,250.6666667,161.8888889,131.1944444,,,,,,
PH_hs_0000059,127.6296296,122.7777778,168.6944444,216.7777778,,,,,,
PH_hs_0000061,23.7962963,20.72222222,25.38888889,28.33333333,,,,,,
PH_hs_0000062,69.44444444,82.38888889,66.94444444,86.83333333,,,,,,
PH_hs_0000063,314.7407407,267.0555556,223.1666667,232.2777778,,,,,,
PH_hs_0000064,5.37037037,4,11,4.722222222,,,,,,
PH_hs_0000065,18.40740741,19.11111111,25.5,21.22222222,,,,,,
PH_hs_0000066,100.2962963,6.055555556,3.611111111,6.888888889,,,,,,
PH_hs_0000067,3171.185185,6246.666667,2483.166667,1959.583333,,,,,,
PH_hs_0000068,1102.111111,982.2777778,1016.777778,1022.388889,,,,,,
PH_hs_0000069,5511.611111,11764.61111,20353.22222,20643.66667,,,,,,
PH_hs_0000070,21.11111111,20.44444444,19.33333333,26.94444444,,,,,,
PH_hs_0000071,1.222222222,1.083333333,-0.416666667,0.055555556,,,,,,
PH_hs_0000072,30.74074074,27.08333333,36.88888889,30.5,,,,,,
PH_hs_0000073,185.962963,107.3333333,157.2777778,203.9722222,,,,,,
PH_hs_0000074,39.55555556,38.5,35.22222222,42.61111111,,,,,,
PH_hs_0000076,51.74074074,45.22222222,38,47.66666667,,,,,,
PH_hs_0000077,3.407407407,3.944444444,3.611111111,7.277777778,,,,,,
PH_hs_0000078,50.44444444,81.11111111,57.33333333,35.88888889,,,,,,
PH_hs_0000079,111.5925926,192.4166667,194.4722222,197.5,,,,,,
PH_hs_0000080,50058.33333,59387.13889,61832.75,57565.72222,,,,,,
PH_hs_0000081,48.37037037,37.77777778,38.94444444,47,,,,,,
PH_hs_0000084,2765.611111,1030.916667,1579.5,1794.944444,,,,,,
PH_hs_0000085,377.7777778,584,437.0833333,827.3888889,,,,,,
PH_hs_0000086,62.01851852,74.44444444,62.66666667,61.61111111,,,,,,
PH_hs_0000088,115.2407407,91.61111111,151.4166667,176.4444444,,,,,,
PH_hs_0000089,447.5740741,268.4444444,228.8333333,173.3055556,,,,,,
PH_hs_0000090,107.037037,81.22222222,129.2222222,95.83333333,,,,,,
PH_hs_0000092,2096.722222,1302.861111,2466.444444,2512.666667,,,,,,
PH_hs_0000093,34.55555556,30.83333333,28.16666667,30.66666667,,,,,,
PH_hs_0000094,599.5925926,125.8888889,199.3888889,364.8888889,,,,,,
PH_hs_0000095,893,828,720.6388889,697.3888889,,,,,,
PH_hs_0000096,3.814814815,3.055555556,4.444444444,5.5,,,,,,
PH_hs_0000097,58.64814815,46,63.66666667,64.83333333,,,,,,
PH_hs_0000098,711.5555556,524.8055556,499.4444444,330.7777778,,,,,,
PH_hs_0000099,11.77777778,17.61111111,21.77777778,12,,,,,,
PH_hs_0000100,2715.925926,1539.444444,2271.111111,3506.388889,,,,,,
PH_hs_0000101,92.83333333,118.6111111,98.80555556,101.8333333,,,,,,
PH_hs_0000102,77.7962963,22.38888889,32.16666667,35.88888889,,,,,,
PH_hs_0000103,2040.888889,2460.333333,3160.194444,2356.111111,,,,,,
PH_hs_0000104,64.14814815,65.25,49.47222222,42.11111111,,,,,,
PH_hs_0000105,107.5555556,85.88888889,143.7777778,139.8888889,,,,,,
PH_hs_0000106,467.962963,504.2222222,329.8888889,274.3333333,,,,,,
PH_hs_0000107,5156.037037,3316.444444,3037.388889,2513.111111,,,,,,
PH_hs_0000108,289.1666667,33.38888889,57.72222222,124,,,,,,
PH_hs_0000109,124.5185185,99,132.8888889,161.6111111,,,,,,
PH_hs_0000110,3084.037037,2580.222222,4880.777778,3184.305556,,,,,,
PH_hs_0000111,1037.425926,1074.5,1057.527778,985.1944444,,,,,,
PH_hs_0000112,201.3703704,179,131.7222222,131.1944444,,,,,,
PH_hs_0000113,37367.48148,13676.16667,30584.16667,31797.05556,,,,,,
PH_hs_0000114,1343.685185,987.4444444,1002.277778,948.7222222,,,,,,
PH_hs_0000115,3644.518519,3406.666667,3509.611111,3325.333333,,,,,,
PH_hs_0000116,18.88888889,39.38888889,25.16666667,26.27777778,,,,,,
PH_hs_0000117,379.537037,294.8055556,307.8888889,436.3611111,,,,,,
PH_hs_0000118,8.851851852,12.72222222,9.277777778,6.333333333,,,,,,
PH_hs_0000119,24.07407407,21.16666667,20.55555556,19.55555556,,,,,,
PH_hs_0000121,13.44444444,13.63888889,13.38888889,15.77777778,,,,,,
PH_hs_0000122,1666.574074,887.8888889,1102.388889,1275.25,,,,,,
PH_hs_0000123,10533.66667,17115.38889,18754.38889,14466.02778,,,,,,
PH_hs_0000124,14.14814815,13.66666667,14.33333333,15.72222222,,,,,,
PH_hs_0000126,4.814814815,4.222222222,7.333333333,7.944444444,,,,,,
PH_hs_0000128,16.55555556,14.16666667,10.72222222,11.11111111,,,,,,
PH_hs_0000129,7.703703704,5.611111111,3.472222222,7.944444444,,,,,,
PH_hs_0000130,9.740740741,7.611111111,8.333333333,6.333333333,,,,,,
PH_hs_0000131,2055.111111,2168.777778,1992.916667,1692.277778,,,,,,
PH_hs_0000132,93.5,107.1111111,80.77777778,92.38888889,,,,,,
PH_hs_0000133,593.9444444,497.2777778,348.6944444,281.6111111,,,,,,
PH_hs_0000134,33.40740741,26.94444444,30.55555556,17.66666667,,,,,,
PH_hs_0000135,392.8333333,330.5833333,334.5,246.2222222,,,,,,
PH_hs_0000136,77.14814815,56.38888889,52,37.88888889,,,,,,
PH_hs_0000137,9122.148148,10585.88889,9429.555556,11395.08333,,,,,,
PH_hs_0000138,1768,496.7222222,1019.472222,1136.805556,,,,,,
PH_hs_0000140,18.03703704,11.83333333,16.16666667,21.88888889,,,,,,
PH_hs_0000141,20,20.27777778,24.38888889,28.61111111,,,,,,
PH_hs_0000142,407.5925926,537.0277778,297.3888889,238.4444444,,,,,,
PH_hs_0000143,152.0740741,240.6666667,203.3611111,211.3611111,,,,,,
PH_hs_0000144,604.2592593,503.5833333,581.1944444,494.7777778,,,,,,
