"","x"
"1","MX2"
"2","HLA-DMB"
"3","CHGB"
"4","previous version conserved probe"
"5","SOD3"
"6","WFDC2"
"7","NBEA"
"8","RTBDN"
"9","SEZ6"
"10","SYT5"
"11","CYP46A1"
"12","RAMP3"
"13","TCFL5"
"14","CALCA"
"15",NA
"16","ZNF367"
"17","LDB3"
"18","KLK5"
"19","TIGD2"
"20","DMRT2"
"21","ANKRD2"
"22","CD101"
"23","CRH"
"24","GSTM5"
"25","SLC38A3"
"26","PTDSS1"
"27","DMRT1"
"28","SGCA"
"29","ARSF"
"30","NKX3-2"
"31","C1QTNF2"
"32","PRSS50"
"33","TRIM17"
"34","UGT2A3"
"35","DNAJB3|LOC100286922"
"36","C9orf152"
"37","C1orf74"
"38","PAX9"
"39","METTL8"
"40","IAPP"
"41","CAMK2A"
"42","HEY2"
"43","TUSC5"
"44","PATE1"
"45","C1QTNF7"
"46","ACHE"
"47","RPL3L"
"48","PTH2R"
"49","NUP62CL"
"50","DHX8"
"51","C2orf54"
"52","LUZP2"
"53","EMX2"
"54","LCN2"
"55","GAL3ST3"
"56","MID1IP1"
"57","EFHC2"
"58","GFRA4"
"59","LOC284889"
"60","SNX21"
"61","SGCZ"
"62","GATA5"
"63","APOL6"
"64","DLG1-AS1"
"65","ANKRD29"
"66","ARPP21"
"67","LOC286177"
"68","LOC286370"
"69","KRTAP7-1"
"70","C11orf88"
"71","SERTM1"
"72","ARHGAP15"
"73","KCNC3"
"74","FAM71F1"
"75","ABCC9"
"76","GLYAT"
"77","SCNN1G"
"78","CLCN5"
"79","ADAMTS18"
"80","ZDHHC15"
"81","EFHD1"
"82","PNPLA7"
"83","TUBB2B"
"84","GABRB3"
"85","SLC27A1"
"86","PRDM8"
"87","KSR2"
"88","ARMCX4"
"89","P2RX5"
"90","PELP1"
"91","SLC26A1"
"92","PCGF3"
"93","CBLB"
"94","LAGE3"
"95","GPC5"
"96","CHPF"
"97","CEP112"
"98","KRTAP19-4"
"99","TMEM196"
"100","LILRA5"
"101","ZBTB7A"
"102","SMCR8"
"103","CELSR2"
"104","MEI1"
"105","COLEC10"
"106","DEFB103B|DEFB103A"
"107","ARL17A"
"108","CTSE"
"109","NTN3"
"110","S100A14"
"111","MGC13053"
"112","DEFB105A|DEFB105B"
"113","LOC340515"
"114","THNSL1"
"115","RBPJ"
"116","MYLPF"
"117","ISLR"
"118","EDDM3B"
"119","C14orf166B"
"120","FAM193B"
"121","KRTAP20-2"
"122","WNT6"
"123","SMTNL1"
"124","MASP1"
"125","LDHC"
"126","TCP10L2"
"127","CCDC173"
"128","MAP3K19"
"129","C3orf45"
"130","IFNL3|IFNL2|IFNL1"
"131","PABPC1L"
"132","TM4SF19|TM4SF19-TCTEX1D2"
"133","PDE1C"
"134","BARHL2"
"135","TNNI3"
"136","C7orf65"
"137","GGT1|GGTLC2|GGT2|GGTLC1|GGT3P"
"138","ACSM2B|ACSM2A"
"139","SKINTL"
"140","PSG10P"
"141","GALNTL6"
"142","SCIMP"
"143","PLEKHG4B"
"144","MPEG1"
"145","CCDC141"
"146","SYNPO2L"
"147","CYP2B6"
"148","PPP1R27"
"149","LOC442132"
"150","NRXN3"
"151","GLIPR1L2"
"152","PRLR"
"153","UCP1"
"154","NPVF"
"155","TCEANC"
"156","OTOL1"
"157","OR2T11"
"158","OR6C76"
"159","C17orf107"
"160","PATL2"
"161","LCE6A"
"162","ALB"
"163","C1orf228"
"164","RARRES2"
"165","KIAA1751"
"166","LRRTM4"
"167","IL9R"
"168","RAD51B"
"169","NPSR1"
"170","FAM19A5"
"171","TBC1D8B"
"172","MMP28"
"173","BBS7"
"174","KCNH7"
"175","NTNG1"
"176","FBLN1"
"177","ADRBK1"
"178","OAS2"
"179","FARP1"
"180","PCDHGC4"
"181","LOC646513"
"182","KANSL1-AS1"
"183","ANKRD36B"
"184","SPAG11B"
"185","SNORD21"
"186","WTH3DI"
"187","FAM159A"
"188","OR52B2"
"189","OR52A1"
"190","GRIK2"
"191","UTY"
"192","HBS1L"
"193","C20orf26"
"194","LOXHD1"
"195","NKX2-6"
"196","DOC2GP"
"197","LOC100506557"
"198","GNN"
"199","NCAM1"
"200","NRG2"
"201","CA5B"
"202","UNC80"
"203","SLC35D1"
"204","GRIA2"
"205","DCAF4L2"
"206","TFCP2L1"
"207","WWC1"
"208","RICTOR"
"209","TTLL8"
"210","GPR150"
"211","GALNT9"
"212","KIF1A"
"213","ACVR2B"
"214","TLK2"
"215","MYH1"
"216","CLIC2"
"217","MYEF2"
"218","LGALS9C|LGALS9"
"219","RFPL3|RFPL1|RFPL2"
"220","HLA-DQB1|LOC101060835"
"221","LOC441124"
"222","LOC100289097"
"223","SEL1L"
"224","VSX1"
"225","TIAF1"
"226","DLX1"
"227","RANBP3L"
"228","TAF1L"
"229","VAV3"
"230","WDR87"
"231","MARVELD3"
"232","NKD1"
"233","CDH8"
"234","CPN2"
"235","GRIA1"
"236","SLC16A7"
"237","FAM105B"
"238","SDC3"
"239","ADAP2"
"240","MYD88"
"241","TUBA3C|TUBA3D|LOC100996887|TUBA3E"
"242","LOC100996887|TUBA3E|TUBA3D|TUBA3C"
"243","LOC388210|LOC101060360"
"244","LOC101060371|LOC101060540|LOC100288562|REXO1L2P"
"245","LOC100291699"
