"","x"
"1","MX2"
"2","CHGB"
"3","previous version conserved probe"
"4","SOD3"
"5","SEZ6"
"6","TCFL5"
"7",NA
"8","LDB3"
"9","CD101"
"10","SLC38A3"
"11","SGCA"
"12","ARSF"
"13","TRIM17"
"14","DNAJB3|LOC100286922"
"15","C1orf74"
"16","PAX9"
"17","IAPP"
"18","HEY2"
"19","PATE1"
"20","PTH2R"
"21","NUP62CL"
"22","EMX2"
"23","GAL3ST3"
"24","MID1IP1"
"25","LOC284889"
"26","SNX21"
"27","GATA5"
"28","KRTAP7-1"
"29","GLYAT"
"30","CLCN5"
"31","GABRB3"
"32","KSR2"
"33","P2RX5"
"34","SLC26A1"
"35","PCGF3"
"36","LAGE3"
"37","CEP112"
"38","ZBTB7A"
"39","SMCR8"
"40","DEFB103B|DEFB103A"
"41","NTN3"
"42","S100A14"
"43","MGC13053"
"44","FAM193B"
"45","WNT6"
"46","SMTNL1"
"47","LDHC"
"48","C3orf45"
"49","TM4SF19|TM4SF19-TCTEX1D2"
"50","TNNI3"
"51","C7orf65"
"52","PLEKHG4B"
"53","PPP1R27"
"54","LOC442132"
"55","PRLR"
"56","UCP1"
"57","TCEANC"
"58","OR6C76"
"59","C17orf107"
"60","C1orf228"
"61","RAD51B"
"62","TBC1D8B"
"63","MMP28"
"64","BBS7"
"65","KCNH7"
"66","NTNG1"
"67","FARP1"
"68","ANKRD36B"
"69","WTH3DI"
"70","GRIK2"
"71","C20orf26"
"72","LOXHD1"
"73","DOC2GP"
"74","UNC80"
"75","GRIA2"
"76","WWC1"
"77","TTLL8"
"78","ACVR2B"
"79","TLK2"
"80","RFPL3|RFPL1|RFPL2"
"81","LOC441124"
"82","VSX1"
"83","TIAF1"
"84","TAF1L"
"85","WDR87"
"86","MARVELD3"
"87","SLC16A7"
"88","FAM105B"
"89","SDC3"
"90","TUBA3C|TUBA3D|LOC100996887|TUBA3E"
"91","LOC388210|LOC101060360"
"92","LOC101060371|LOC101060540|LOC100288562|REXO1L2P"
