"","x"
"1","CLC"
"2","PROZ"
"3","TRHR"
"4","CPNE6"
"5","CMPK2"
"6","TAC3"
"7","LINC00261"
"8","PKNOX2"
"9","SST"
"10","P2RY13"
"11","DUSP21"
"12","GKN2"
"13","GDAP1L1"
"14","RTN4RL1"
"15","HEYL"
"16","LGI3"
"17","SGCG"
"18","DKK1"
"19","HTR2C"
"20","KRT73"
"21","ANKRD31"
"22","ITPRIPL1"
"23","GKN1"
"24","GAR1"
"25","JMJD6"
"26","CKMT2"
"27","H2AFY2"
"28","RNF17"
"29","BSPRY"
"30","CBFA2T3"
"31","FAM198A"
"32","KCNS1"
"33","PRR35"
"34","GTSF1"
"35","LINC00705"
"36","GRM2"
"37","KLK1"
"38","LHFPL3-AS2"
"39","EFCAB5"
"40","FXYD4"
"41","GGT6"
"42","LINC00642"
"43","TMEM174"
"44","NUP210L"
"45","OR7A5"
"46","FAM20A"
"47","KCNA5"
"48","KLK7"
"49","CHI3L2"
"50","FOXA2"
"51","IL18RAP"
"52","FBXL21"
"53","SLC39A2"
"54","LOC400794"
"55","SLC30A8"
"56",NA
"57","DMRT3"
"58","LINC00284"
"59","NRXN3"
"60","MC3R"
"61","FGF19"
"62","GALR1"
"63","LINC00905"
"64","RETNLB"
"65","SLC17A3"
"66","C1orf127"
"67","CECR5-AS1"
"68","SOST"
"69","CES5A|CES5AP1"
"70","LOC151121"
"71","OR5P3"
"72","NLRP11"
"73","LINC01465"
"74","QPCTL"
"75","COL14A1"
"76","SLITRK1"
"77","PNCK"
"78","NPY6R"
"79","CD5L"
"80","ATP12A"
"81","ANKRD23"
"82","CDX2"
"83","DNAJC22"
"84","FGF14"
"85","EP300"
"86","TEC"
"87","FRA10AC1"
"88","CAPN9"
"89","CSF3R"
"90","MCF2"
"91","RPL10"
"92","KCNH8"
"93","NPHS2"
"94","ACADL"
"95","KRT13"
"96","ANKMY1"
"97","NTRK2"
"98","CALD1"
"99","PTPRC"
"100","KYNU"
"101","VSX2"
"102","TMEM196"
"103","LILRA6"
"104","SPDYA"
"105","LILRA5"
"106","MYL2"
"107","IRX4"
"108","TSSK3"
"109","LINC00955"
"110","NEU4"
"111","CD74"
"112","ASAH2"
"113","MS4A6E"
"114","SSTR1"
"115","CYP4X1"
"116","KRTAP5-9|KRTAP5-8|KRTAP5-10|KRTAP5-4|KRTAP5-6|KRTAP5-7|KRTAP5-3|KRTAP5-2|KRTAP5-11"
"117","THRSP"
"118","BHLHE22"
"119","LCE3E|LCE3D|LCE3A"
"120","SPATA31E1"
"121","TRABD2A"
"122","ATP4A"
"123","KRTAP19-1|KRTAP19-3"
"124","SYCP1"
"125","LINC01312"
"126","ODF3L1"
"127","SLC16A12"
"128","ADAMTS12"
"129","CHIT1"
"130","SERPINB3"
"131","PNPLA5"
"132","MUC17"
"133","DPPA4"
"134","GOLGA7B"
"135","RPL13AP17"
"136","RBMXL3"
"137","ZNF536"
"138","STX19"
"139","OR10A3"
"140","TMEM150B"
"141","TPSB2|TPSAB1"
"142","FIGLA"
"143","FAR2P2"
"144","S100A1"
"145","VAX1"
"146","SLC22A31"
"147","OBP2A|OBP2B"
"148","NBPF7"
"149","CCL5"
"150","FEZF1"
"151","LINC01164"
"152","CLEC2A"
"153","MRGPRD"
"154","FLG"
"155","LCN9"
"156","TARM1"
"157","FPR1"
"158","ITGA9"
"159","SLC35A2"
"160","LINC00700"
"161","SNTN"
"162","LINC00661"
"163","TEAD1"
"164","TMCO5A"
"165","CYP4F11"
"166","NIPSNAP3B"
"167","SYN1"
"168","KCNS2"
"169","TTC7A"
"170","HIST1H2BO"
"171","ADAM28"
"172","CCDC141"
"173","APOA1"
"174","PIF1"
"175","TPTE2P5"
"176","LOC442132"
"177","RND2"
"178","CRB2"
"179","LOC100506801"
"180","LINC00317"
"181","PRKCB"
"182","S1PR4"
"183","MT1E"
"184","ZBED2"
"185","FBXO8"
"186","DKK2"
"187","NRK"
"188","PRLR"
"189","LRRK2"
"190","KRTAP13-1"
"191","VN1R2"
"192","UCP1"
"193","HIST3H2BB"
"194","FMO4"
"195","RAB41"
"196","ITLN2"
"197","OR10AG1"
"198","OR10A6"
"199","PLEKHD1"
"200","C5orf64"
"201","OR6N2"
"202","DUPD1"
"203","SPINK14"
"204","OR52M1"
"205","CLPSL1"
"206","SMIM21"
"207","FAM205BP"
"208","TAS2R40"
"209","OR4E2"
"210","CLDN25"
"211","FABP7"
"212","ATP13A4"
"213","OPTC"
"214","CAPN8"
"215","FOLR1"
"216","NHLH2"
"217","PAEP"
"218","VTCN1"
"219","ADAMTSL2"
"220","TMEM253"
"221","SLC22A25"
"222","FAM153A|FAM153B"
"223","SEBOX"
"224","RGS9"
"225","CLLU1"
"226","KCNH7"
"227","DCN"
"228","ADRA1A"
"229","SPESP1"
"230","OR10C1"
"231","FBLN1"
"232","HYDIN"
"233","TBX1"
"234","STK19"
"235","CACTIN"
"236","PDS5A"
"237","BPI"
"238","CACNB2"
"239","RLN2"
"240","BCL11A"
"241","42064"
"242","RPLP0P2"
"243","AGBL1"
"244","FAM217A"
"245","SAXO2"
"246","CAGE1"
"247","ANKRD18DP"
"248","TPTE2P6"
"249","KCP"
"250","UGT2A1|UGT2A2"
"251","ZFAT-AS1"
"252","RPEL1"
