"","x"
"1","previous version conserved probe"
"2","CLC"
"3","FCER1A"
"4","DNAJC10"
"5","ASGR2"
"6","CD3E"
"7","REPS2"
"8","ARHGEF18"
"9","NRCAM"
"10","VSIG4"
"11","TESK2"
"12","ASGR1"
"13","RAB3IL1"
"14","KLHDC8B"
"15","FNDC5"
"16","AMICA1"
"17","CD4"
"18","ETS1"
"19","LCA5"
"20","SLC7A8"
"21","RNASE6"
"22","RAD51AP1"
"23","TMEM204"
"24","FOS"
"25","TMEM37"
"26","TPCN1"
"27","SDPR"
"28","TMEM155"
"29","SEMA5A"
"30","ADORA3"
"31","GPR34"
"32","SIGLEC1"
"33","FGFBP3"
"34","C21orf7"
"35","LRRC39"
"36","SLC47A1"
"37","CLEC10A"
"38","STK32B"
"39","CLEC3B"
"40",NA
"41","MARCO"
"42","AZU1"
"43","CD163"
"44","OLFM1"
"45","RGS2"
"46","UCP2"
"47","RARRES1"
"48","CTSK"
"49","CD180"
"50","ERCC6L"
"51","SPOCK1"
"52","SLC2A9"
"53","CPVL"
"54","ILDR1"
"55","ENC1"
"56","CNTNAP2"
"57","HS3ST2"
"58","DOK7"
"59","LOC283710"
"60","SMIM5"
"61","VPREB3"
"62","CPA5"
"63","KRT72"
"64","LHX3"
"65","C3AR1"
"66","PKD2L1"
"67","GPBAR1"
"68","WBSCR27"
"69","AIFM3"
"70","TBX15"
"71","OLFM2"
"72","MEIS1"
"73","SLC7A3"
"74","MGAT4A"
"75","TLR7"
"76","DHRS9"
"77","LY86"
"78","KCNJ5"
"79","LEP"
"80","OSBPL3"
"81","B3GALT5"
"82","DAB2IP"
"83","GAPDHS"
"84","CA8"
"85","ARHGAP6"
"86","NR1D1"
"87","SIX4"
"88","MLH3"
"89","LGALS12"
"90","ARL14"
"91","CHST13"
"92","GALNT9"
"93","STAB1"
"94","CST3"
"95","KRTAP3-3"
"96","MS4A4A"
"97","AP1B1"
"98","HMCN1"
"99","MYLK3"
"100","SLC18B1"
"101","CELF6"
"102","KCNMB4"
"103","ZNF618"
"104","NTAN1"
"105","DOC2A"
"106","CHN1"
"107","HGF"
"108","GRB14"
"109","HTR3A"
"110","CXCR4"
"111","RBP7"
"112","DNAJC9-AS1"
"113","LOC100134361"
"114","MSR1"
"115","LOC286094"
"116","PRRX1"
"117","FPR3"
"118","ARR3"
"119","TMPO"
"120","PTGER3"
"121","ABCC5"
"122","GAPT"
"123","LRRC1"
"124","SCARB1"
"125","C8orf46"
"126","IL16"
"127","TNFSF8"
"128","ZNF493"
"129","TMEM184A"
"130","EXD1"
"131","TESC"
"132","ABCG1"
"133","SPTSSB"
"134","STARD13"
"135","MYO7A"
"136","CNRIP1"
"137","MS4A6A"
"138","CSF3R"
"139","C2orf88"
"140","COL4A3"
"141","ALK"
"142","HOMER3"
"143","FXYD6"
"144","EEPD1"
"145","ADAP2"
"146","CLCN4"
"147","FN1"
"148","TGFBI"
"149","HTR2B"
"150","MPP1"
"151","FOLR2"
"152","ASRGL1"
"153","CHRDL1"
"154","SAMD3"
"155","MYOM2"
"156","MYLIP"
"157","SYN2"
"158","MAPRE2"
"159","NRG1"
"160","LINC00469"
"161","PRRG4"
"162","ATM"
"163","B3GALT1"
"164","CCR2"
"165","SYT3"
"166","NAIP"
"167","CCNB1IP1"
"168","QSER1"
"169","NDRG4"
"170","CD74"
"171","RFX7"
"172","HPGD"
"173","ADIPOQ"
"174","TLR5"
"175","RHOXF2"
"176","RNASE2|ECRP"
"177","USP36"
"178","OR10H2|OR10H1|OR10H5"
"179","NFXL1"
"180","CEBPD"
"181","FHIT"
"182","RYR3"
"183","NREP"
