"","x"
"1","previous version conserved probe"
"2","FUCA1"
"3","CXCR2"
"4","HLA-DMB"
"5","ASGR2"
"6","CD1A"
"7","CD1D"
"8","PROC"
"9","CD302|LY75-CD302"
"10","REPS2"
"11","VSIG4"
"12","ASGR1"
"13","FNDC5"
"14","SLC7A8"
"15","RNASE6"
"16","RAD51AP1"
"17","IL1R2"
"18","SLC29A1"
"19","TMEM37"
"20","STK32C"
"21","ADORA3"
"22","GPR34"
"23","CYBRD1"
"24","RAB32"
"25","TMEM117"
"26","CLN6"
"27","SLC47A1"
"28","BACE1"
"29","CLEC10A"
"30","CLEC3B"
"31","AZU1"
"32","CD163"
"33","OLFM1"
"34","CEBPA"
"35","BLVRB"
"36","SNCA"
"37","CD33"
"38","CD180"
"39","DEPTOR"
"40","SLC16A5"
"41","SLC2A9"
"42","HS3ST2"
"43","SLC46A3"
"44","TREML1"
"45","TNFRSF10C"
"46","EPHB2"
"47",NA
"48","NME8"
"49","PMFBP1"
"50","MNDA"
"51","AIFM3"
"52","SERPINF1"
"53","TLR7"
"54","DHRS9"
"55","TDO2"
"56","KCNJ5"
"57","LOC100506585"
"58","RASAL1"
"59","DAB2IP"
"60","ARHGAP6"
"61","C1orf162"
"62","METTL7A"
"63","CHST13"
"64","MLPH"
"65","RPS6KA2"
"66","MS4A4A"
"67","EGR1"
"68","AP1B1"
"69","SIRPD"
"70","KCNMB4"
"71","C11orf45"
"72","FGL2"
"73","COL8A2"
"74","KAL1"
"75","HGF"
"76","RBP7"
"77","ANXA4"
"78","TREM2"
"79","LOC100134361"
"80","MSR1"
"81","DYSF"
"82","ABCC5"
"83","GAPT"
"84","NKX2-1"
"85","TFCP2L1"
"86","TM6SF1"
"87","FAM105A"
"88","CBS"
"89","FRMD4A"
"90","SLC2A8"
"91","SNX24"
"92","ASB13"
"93","ZBED3"
"94","FBP1"
"95","STARD13"
"96","MS4A6A"
"97","FOXRED2"
"98","ACPP"
"99","ALK"
"100","CLCN4"
"101","NUPR1"
"102","ASRGL1"
"103","RGS12"
"104","CPED1"
"105","NRG1"
"106","MPO"
"107","MRC1|LOC101060092"
"108","NAIP"
"109","PDCL"
"110","EDNRB"
"111","TLR5"
"112","APOL4"
"113","OSBPL1A"
"114","C5orf20"
"115","OR7A17"
"116","VCL"
"117","KIAA1211L"
"118","PALD1"
"119","SLC37A2"
"120","CARD9"
"121","SLC45A4"
"122","NFAM1"
"123","CD36"
"124","IQCE"
"125","ZBED3-AS1"
"126","MYCL1"
"127","GGTA1P"
"128","NHS"
"129","FCGR2B"
"130","TNNI2"
"131","SCIMP"
"132","WLS"
"133","ABCC3"
"134","NUDT16P1"
"135","GATM"
"136","RHOBTB1"
"137","CREB5"
"138","SLC8A1"
"139","EPAS1"
"140","FECH"
"141","CCR2"
"142","CAMK1"
"143","FBLIM1"
"144","TNFSF13|TNFSF12-TNFSF13"
"145","TLR4"
"146","MGAT4A"
"147","CD84"
"148","SLC46A1"
"149","NAGA"
"150","NPL"
"151","LOC100287290"
"152","LOC441081|LOC101060375|LOC100653060|LOC100653059|LOC100653058|LOC100653056"
