"","x"
"1","CREB5"
"2","previous version conserved probe"
"3","APOBEC1"
"4","CXCR2"
"5","FCER1A"
"6","HLA-DMB"
"7","CD1C"
"8","EGR2"
"9","CD1D"
"10","LINC00261"
"11","AMICA1"
"12","ADORA3"
"13","GPR34"
"14","PADI2"
"15","NEUROD6"
"16","CLEC10A"
"17","LRCH2"
"18","IL5RA"
"19","OLFM1"
"20","NFE2"
"21","CX3CR1"
"22","RGS2"
"23","DEPTOR"
"24","GIMAP8"
"25","ILDR1"
"26","CNTNAP2"
"27","DEFB129"
"28",NA
"29","SCN2B"
"30","GHSR"
"31","C10orf54"
"32","MNDA"
"33","CD244"
"34","GCNT1"
"35","NRG1"
"36","TLR7"
"37","FAM111B"
"38","C1orf172"
"39","WISP1"
"40","DAB2IP"
"41","GPR63"
"42","CD1E"
"43","SMPD3"
"44","APLN"
"45","EGR1"
"46","FGL2"
"47","GPR82"
"48","DLG1-AS1"
"49","FLG2"
"50","LOC286177"
"51","LOC100134361"
"52","GSG1"
"53","GIPC2"
"54","FAM105A"
"55","ZFY"
"56","CDH2"
"57","TESC"
"58","MEF2C"
"59","MS4A6A"
"60","TNFSF10"
"61","ACPP"
"62","DNAH9"
"63","ABCA4"
"64","EPS8L1"
"65","ABCC6"
"66","LILRA5"
"67","SLC46A2"
"68","CCR2"
"69","CTTNBP2"
"70","THBS2"
"71","CAMK1"
"72","LRRN3"
"73","NFXL1"
"74","LIN28B"
"75","KCNG1"
"76","LILRA2"
"77","RNASE4"
"78","LILRB2"
"79","SLC1A6"
"80","FBXO43"
"81","C15orf55"
"82","TRIM64B|TRIM64"
"83","OLFML1"
"84","SCIMP"
"85","KCNS2"
"86","SPECC1"
"87","MPEG1"
"88","URB1"
"89","CXorf36"
"90","PKP2"
"91","OR7C1"
"92","CREB3L3"
"93","RPL13AP3"
"94","OR13D1"
"95","NEK5"
"96","GGTA1P"
"97","VSTM1"
"98","PKIB"
"99","FAM19A5"
"100","C20orf181|LOC100509861"
"101","FAM153A|FAM153B"
"102","CASS4"
"103","ANK2"
"104","OR52N5"
"105","PTGER3"
"106","NTRK2"
"107","SEPP1"
"108","P2RY6"
"109","ARHGEF35"
"110","HLA-DQB2"
"111","HLA-DRB5"
"112","ADAMTS5"
"113","ZNF407"
"114","ATP8B5P"
"115","TPCN1"
"116","SKIDA1"
"117","ZFHX4"
"118","GPR133"
"119","DCC"
"120","MAF"
"121","C8orf34"
"122","CNTN5"
"123","ALCAM"
"124","MAGEA10-MAGEA5"
"125","SLC46A1"
"126","SH3TC2"
"127","GPR33"
"128","PGA3|PGA4|PGA5"
"129","LOC101060029"
"130","LOC100505564"
"131","LOC100131608|LOC101060654"
"132","OVOS2|LOC100653225|OVOS"
