"","x"
"1","KCNS2"
"2","LINC01312"
"3","IL32"
"4","SSH3"
"5","ALDH7A1"
"6","CECR5-AS1"
"7","PPDPF"
"8","EDNRA"
"9","NDST4"
"10","NSD1"
"11","SETSIP|SET"
"12","SLC12A2"
"13","SCAF1"
"14","METTL21A|CFLAR"
"15","SPI1"
"16","LILRA6"
"17",NA
"18","TPTE2P5"
"19","IQCJ-SCHIP1|SCHIP1"
"20","ARL8A"
"21","CALR"
"22","PSMA1"
"23","BNIP1"
"24","GJB4"
"25","TMEM216"
"26","TRIM67"
"27","HIPK3"
"28","MTSS1L"
"29","KCNC4"
"30","MFSD3"
"31","CYP1A2"
"32","RNF183"
"33","MAP4K4"
"34","HMGA1"
"35","MIA2"
"36","UPP1"
"37","KANSL3"
"38","NPHS2"
"39","GOLGA8G|GOLGA8EP|GOLGA8CP|GOLGA8DP|GOLGA8S|GOLGA6C"
"40","PKLR"
"41","HAAO"
"42","UBE2D1"
"43","TRIM3"
"44","CLCN2"
"45","DEFB126"
"46",NA
"47","C1RL-AS1"
"48","TAS2R38"
"49","CYTH2"
"50","GPC5"
"51",NA
"52","MIEN1"
"53","SNHG3"
"54","KRT38"
"55","RAB11B"
"56","YWHAE|YWHAEP1"
"57",NA
"58","TWSG1"
"59","PLA2G5"
"60",NA
