"","x"
"1","KCNS2"
"2","WDFY4"
"3","LINC01312"
"4","GIPR"
"5","TM2D1"
"6","OPTC"
"7","TMEM35"
"8","ALDH7A1"
"9","CECR5-AS1"
"10","PKNOX2"
"11","LRRC1"
"12","EFNB2"
"13","EDNRA"
"14","NDST4"
"15","ANKMY1"
"16","SETSIP|SET"
"17","SLC12A2"
"18","METTL21A|CFLAR"
"19","LILRA6"
"20","NOXRED1"
"21","OR56A3"
"22","ZMIZ1-AS1"
"23","CCDC89"
"24","SLC7A2"
"25","TPTE2P5"
"26","IQCJ-SCHIP1|SCHIP1"
"27",NA
"28","ARL8A"
"29","PSMA1"
"30","BNIP1"
"31","GJB4"
"32","OR4K5"
"33","HIPK3"
"34","OR10C1"
"35","RGS5"
"36","KCNC4"
"37","MFSD3"
"38","CYP1A2"
"39","RCN3"
"40","RNF183"
"41","PDP1"
"42","MAP4K4"
"43","LLGL1"
"44","ANKRD30BL"
"45","CUL1"
"46","REM1"
"47","MIA2"
"48","HOXB8"
"49","UPP1"
"50","KANSL3"
"51","NPHS2"
"52","GOLGA8G|GOLGA8EP|GOLGA8CP|GOLGA8DP|GOLGA8S|GOLGA6C"
"53","PKLR"
"54","HAAO"
"55","UBE2D1"
"56","TRIM3"
"57","CLCN2"
"58",NA
"59","TAS2R38"
"60","MIEN1"
"61","SNHG3"
"62","LOC149373"
"63","DLG1-AS1"
"64","MPZL2"
"65","FBXO8"
"66","LOC101928422"
"67",NA
"68","TWSG1"
"69","DPP9"
"70","PLA2G5"
