name,geneID,1460_6hr,1460_24hr,1461_6hr,1461_24hr,1460_6hr_log2,1460_24hrlog2,1461_6hr_log2,1461_24hr_log2
EXOSC8,PH_hs_0014123,2779.6875,2989.361111,2660.833333,2830.166667,-0.069274151,0.035640332,-0.132318704,-0.043309836
PCDHB14,PH_hs_0040097,52.125,48.19444444,44.88888889,45.05555556,0.121447928,0.008339301,-0.094169164,-0.088822542
NA,PH_hs_0063027,132.25,146.0416667,119.75,132.875,-0.069220049,0.073892267,-0.212462116,-0.06241808
SLC18B1,PH_hs_0016733,41.66666667,41.91666667,39.47222222,37.38888889,-0.059355278,-0.050724972,-0.137411224,-0.215639368
ZFYVE28,PH_hs_0015149,52.125,56.30555556,55.19444444,52.86111111,-0.070883486,0.040418312,0.011664096,-0.050652215
PDGFA,PH_hs_0028268,127.0416667,162.4166667,157.2777778,123.7083333,-0.057965978,0.296431962,0.25004712,-0.096325035
MRPL49,PH_hs_0063436,1986,1965.527778,1862.152778,1797.069444,0.154278351,0.139329481,0.06138417,0.010058889
GLB1L,PH_hs_0010720,51,51.55555556,50.5,55.52777778,-0.242458044,-0.226827393,-0.256671904,-0.119745631
PIGC,PH_hs_0029996,946.6666667,1199.569444,1284.430556,998.4027778,0.037437943,0.379026194,0.477638405,0.114203368
CCDC184,PH_hs_0013314,593.5416667,763.8888889,906.25,588.8194444,0.245018726,0.609032222,0.855578505,0.233494729
KLHL4,PH_hs_0003428,37.33333333,38.16666667,38.22222222,37.41666667,-0.114486015,-0.082637149,-0.080538683,-0.111269302
GGTLC1,PH_hs_0032824,156.0416667,168.1111111,181.8333333,145.4722222,-0.040641984,0.066841784,0.180043398,-0.141829599
NA,PH_hs_0062980,56.25,55.94444444,56.88888889,51.94444444,0.038994132,0.031135907,0.055287939,-0.075889506
RPL36AL|RPL36A,PH_hs_0033509,2726.229167,3659.291667,3298.763889,3310.222222,0.021895202,0.446552773,0.296913882,0.301916433
PKMYT1,PH_hs_0004488,1216.166667,1224.486111,1495.388889,1093.597222,0.283242919,0.293078376,0.581422685,0.12998345
CETN1,PH_hs_0006853,47.16666667,48.72222222,48.33333333,44.02777778,0.04926122,0.096073509,0.084512067,-0.050092398
NA,PH_hs_0063330,51.83333333,52.52777778,51.33333333,48.25,0.151487753,0.17068813,0.137503524,0.048136521
