"","x"
"1","ATF3"
"2","IL8"
"3","previous version conserved probe"
"4","RRAD"
"5","KLHL24"
"6","LARP1"
"7","TIPARP"
"8","CNKSR3"
"9","PLA2G4C"
"10","WDSUB1"
"11","HIAT1"
"12","SLC12A5"
"13","RAB2B"
"14","SIN3A"
"15","RNASE6"
"16","ZNF641"
"17","FOS"
"18","CDK20"
"19","C5orf51"
"20",NA
"21","SP110"
"22","FLRT2"
"23","F3"
"24","LY96"
"25","CPNE8"
"26","CCL20"
"27","CLGN"
"28","GCH1"
"29","KRT24"
"30","SP4"
"31","DNAH7"
"32","TNFAIP2"
"33","ELSPBP1"
"34","LOH12CR1"
"35","ALG13"
"36","CAMK2D"
"37","TREML1"
"38","SLC2A13"
"39","RND1"
"40","IRS2"
"41","UBXN11"
"42","CHAC1"
"43","CD244"
"44","HAS2"
"45","IL18R1"
"46","CREBRF"
"47","PDZRN3"
"48","LONRF1"
"49","SQSTM1"
"50","CHMP4C"
"51","C1orf65"
"52","HAO1"
"53","WISP1"
"54","PTGS2"
"55","PTPRR"
"56","HMOX1"
"57","PLA2G4A"
"58","FAM83B"
"59","MYT1"
"60","NKPD1"
"61","CYFIP2"
"62","CCL2"
"63","C19orf44"
"64","ZNF781"
"65","PRPF38B"
"66","ZFP36"
"67","ASB5"
"68","FAM108B1"
"69","PPP2R2B"
"70","USF1"
"71","ARID4A"
"72","TERF2"
"73","CD109"
"74","CPEB4"
"75","VPS26A"
"76","RCOR3"
"77","CDKL2"
"78","KLF12"
"79","LCOR"
"80","NR4A3"
"81","ATP6V1B2"
"82","ZC3H12C"
"83","PCMTD1|LOC100996875"
"84","ICAM1"
"85","ST8SIA1"
"86","SOLH"
"87","SUDS3"
"88","HTR2B"
"89","ZNF264"
"90","ZDHHC1"
"91","ARID1B"
"92","C12orf36"
"93","IL6"
"94","PMAIP1"
"95","SLC7A11"
"96","NXT2"
"97","CBX1"
"98","EPS15"
"99","LYSMD3"
"100","MMP17"
"101","OSTM1"
"102","CLIP4"
"103","APOL2"
"104","KIAA0825"
"105","CXCL1"
"106","RHOBTB1"
"107","FBXO44"
"108","VPS13C"
"109","FGF7"
"110","TMEM217"
"111","IL32"
"112","RNF128"
"113","ATP2B1"
"114","INPP5J"
"115","SLC6A15"
"116","TTC8"
"117","ACOT6"
"118","LPAR5"
"119","CHST10"
"120","CLUAP1"
"121","TTC19"
"122","DCBLD2"
"123","RELB"
"124","DENND1B"
"125","KLF4"
"126","FLCN"
"127","MSX1"
"128","RSBN1"
"129","PLCB3"
"130","TBL1XR1"
"131","CLASP2"
"132","FLJ45964"
"133","C4orf22"
"134","C2CD4A"
"135","CCPG1"
"136","SYNJ2"
"137","PACS2"
"138","BEND7"
"139","TTLL13"
"140","XIRP2"
"141","CLEC6A"
"142","BOD1L2"
"143","ZNF404"
"144","BTBD7"
"145","RNF41"
"146","ZNF791"
"147","ZNF772"
"148","GNPTAB"
"149","ENPP4"
"150","SP140L"
"151","TMEM38B"
"152","ZNF275"
"153","CXCL2"
"154","ZC2HC1A"
"155","RIT1"
"156","IFIT1"
"157","ZNF334"
"158","IL4I1"
"159","FNIP1"
"160","GXYLT2"
"161","NBPF6"
"162","RAPGEF6"
"163","TRIP11"
"164","PIH1D3"
"165","BCORP1"
"166","SLFN5"
"167","C1orf52"
"168","CCR6"
"169","TMEM67"
"170","RIMS2"
"171","ZNF831"
"172","CASP10"
"173","DIP2C"
"174","PRKCA"
"175","MAFG"
"176","RIMKLB"
"177","SLC5A5"
"178","ICOSLG"
"179","SENP5"
"180","AFF4"
"181","USP30"
"182","TMEM26"
"183","DNAJC15"
"184","TPR"
"185","PDCL"
"186","CNOT6L"
"187","TNRC6B"
"188","OPTN"
"189","PARP14"
"190","XG"
"191","NR3C1"
"192","KIF13A"
"193","PHF21A"
"194","SCXA|SCXB"
"195","XKRY|XKRY2"
