"","x"
"1","MX2"
"2","CD3G"
"3","LRP5"
"4","DNAJB9"
"5","SLCO2B1"
"6","RSAD2"
"7","ANKRD34C"
"8","SEZ6"
"9","SWT1"
"10","APOLD1"
"11","GDF9"
"12","STC1"
"13","WFS1"
"14","SLC12A8"
"15","SOX12"
"16","BMPER"
"17","CYP1A1"
"18","CD83"
"19","KCNB1"
"20","PITX2"
"21","PDE6C"
"22","TTC29"
"23","KLF2"
"24","RPS6KA5"
"25","ZNF467"
"26","CXCR5"
"27","AKR1B10"
"28","AIFM2"
"29","ADAMTS2"
"30","C16orf82"
"31","DNAJC28"
"32","LINC00324"
"33","HIST1H1T"
"34","COX8C"
"35","IMPG1"
"36","PDHA2"
"37","PARK2"
"38","PGLYRP1"
"39","SPRR3"
"40","CORO6"
"41","LINC00845"
"42","C20orf202"
"43","STOX2"
"44","FOXD2"
"45","IFIT2"
"46","TXNIP"
"47","IRF1"
"48","UBASH3A"
"49","IL6R"
"50","HMOX1"
"51","HCG22"
"52","RNF183"
"53","DNER"
"54","NOV"
"55","CRNN"
"56","KCNA2"
"57","CRX"
"58","RP1"
"59","EFHB"
"60","GABRQ"
"61","FGF23"
"62","DEDD2"
"63","PAPPA2"
"64","CCL2"
"65","SPINT4"
"66","GPR174"
"67","LINC00343"
"68","C11orf65"
"69","FBXO39"
"70","LINC00423"
"71","RIMKLA"
"72","TCHH"
"73","CEACAM6"
"74","KIAA0825"
"75","CREG2"
"76","LAMB4"
"77","TLN2"
"78","PLG"
"79","ADGRF4"
"80","AKAP14"
"81","ITIH5"
"82","ATP1B4"
"83","VNN2"
"84","PTGR1"
"85","CCL28"
"86","ANKRD7"
"87","ACPP"
"88","MDGA1"
"89","IL24"
"90","HTR2A"
"91","GLIS2"
"92","APC2"
"93","RFFL|RAD51L3-RFFL"
"94","C1S"
"95","KCNJ13"
"96","SLC15A1"
"97","SAA4|SAA2-SAA4"
"98","LPXN"
"99","RASGEF1A"
"100","DEFB103B|DEFB103A"
"101","NPTX1"
"102","APOL1"
"103","PCDHB16"
"104","ZNF407"
"105","EDDM3B"
"106","TRIM69"
"107","CDK11B|CDK11A"
"108","RBM24"
"109","TLR2"
"110","EML6"
"111","LINC00887"
"112","RFPL2"
"113","FTCDNL1"
"114","GPR21"
"115","PEG3"
"116","PDCL2"
"117","MAP3K19"
"118","PAGE2|PAGE2B|PAGE5"
"119","RIIAD1"
"120","FOXG1"
"121","ADGRG2"
"122","PDE1C"
"123","LYG2"
"124",NA
"125","TCEA3"
"126","EHHADH-AS1"
"127","FBXO15"
"128","MEIKIN"
"129","MGC50722"
"130","RNASE9"
"131","FLJ13224"
"132","ZNRF3"
"133","KIF6"
"134","AHRR"
"135","GRK1"
"136","ANO5"
"137","LINC01550"
"138","ITGA1"
"139","CACNA1C"
"140","SPANXD|SPANXA2|SPANXA1"
"141","SLC6A19"
"142","TRERF1"
"143","USP27X"
"144","FOXL2NB"
"145","XIRP2"
"146","OLFM3"
"147","C2orf15"
"148","LEMD1"
"149","CTSG"
"150","F2RL3"
"151","IL9"
"152","ANAPC10"
"153","OR9A2"
"154","OR52D1"
"155","SPDYE4"
"156","CXCL17"
"157","FABP9"
"158","OR6B1"
"159","DENND2A"
"160","SLC22A20"
"161","CNTN6"
"162","SLC5A12"
"163","KCNC2"
"164","CASS4"
"165","TTC39A"
"166","SLC26A5"
"167","SGCD"
"168","C4BPB"
"169","GAD1"
"170","ANK2"
"171","TSLP"
"172","BET1"
"173","OR2L2"
"174","OR52N1"
"175","SEC14L2"
"176","SHISA8"
"177","SCARA3"
"178","HMGB4"
"179","DLEU7"
"180","ZBP1"
"181","OR52A1"
"182","DPYD"
"183","GLI1"
"184","SCN5A"
"185","TBXAS1"
"186","BEST1"
"187","DISC1"
"188","KIAA1257"
"189","ALG13"
"190","ZNF681"
"191","ALS2CR11"
"192","CREBRF"
"193","OR2M2"
"194","CSMD1"
"195","TTC41P"
"196","BCORP1"
"197","BATF2"
"198","C6orf165"
"199","HOOK1"
"200","GJA3"
"201","RRAGD"
"202","BMP3"
"203","ARRDC4"
"204","FAM84A"
"205","SPHKAP"
"206","KCNA6"
"207","SHOX2"
"208","FBXO40"
"209","FAM212B"
"210","FAM20A"
"211","ARHGEF33"
"212","PAPL"
"213","TMEM26"
"214","GNAT1"
"215","OAS3"
"216","PARD6B"
"217","TMEM196"
"218","EDNRB"
"219","ZIC1"
"220","SCN9A"
"221","KIR3DS1|KIR2DS2|KIR2DS4|KIR2DS1|KIR2DS5|KIR2DS3"
"222","RFPL4A"
"223","HIST2H3D"
"224","ERO1LB"
"225","TNFRSF11A"
"226","STK16"
"227","ZNF658"
"228","SLC9B1|LOC101929373"
"229","ZNF365"
