"","x"
"1","IL8"
"2","CD80"
"3","IL1A"
"4","PTX3"
"5","NDP"
"6","NINJ1"
"7","CDC42EP2"
"8","ASAP2"
"9",NA
"10","TTC22"
"11","previous version conserved probe"
"12","MAMLD1"
"13","STX11"
"14","NRIP3"
"15","MSC"
"16","MYO10"
"17","HAS1"
"18","F3"
"19","SPHK1"
"20","IL19"
"21","CDKN2B"
"22","CCL20"
"23","SERPINB2"
"24","BTG3"
"25","KANK4"
"26","GEM"
"27","FEZ1"
"28","LYN"
"29","IL1RN"
"30","AMPD3"
"31","CXCL3"
"32","AQP9"
"33","IL22RA1"
"34","PI3"
"35","EREG"
"36","IL1B"
"37","NEURL3"
"38","WNT5A"
"39","MMP19"
"40","VNN3"
"41","PVRL2"
"42","SLC7A5"
"43","FCAR"
"44","PTGS2"
"45","TNIP3"
"46","IL36G"
"47","BCL2A1"
"48","HEY1"
"49","SLCO4A1"
"50","SLC41A2"
"51","TNFRSF1B"
"52","CCL8"
"53","IRAK3"
"54","LIMK2"
"55","FOSL2"
"56","GPR84"
"57","ITGB8"
"58","PIK3AP1"
"59","PPIF"
"60","PNPLA1"
"61","MAP1LC3A"
"62","IRAK2"
"63","G0S2"
"64","LAMB3"
"65","IL2RA"
"66","MSANTD3|MSANTD3-TMEFF1"
"67","THBS1"
"68","TNFRSF9"
"69","ADORA2A"
"70","CASP5"
"71","FERMT2"
"72","TNIP1"
"73","DLL1"
"74","ATP13A3"
"75","CCM2L"
"76","SOD2"
"77","ICAM1"
"78","TNFAIP6"
"79","IL24"
"80","DUSP4"
"81","PTPN1"
"82","MET"
"83","ADM"
"84","CD274"
"85","KYNU"
"86","MTF1"
"87","CCDC148"
"88","EDN1"
"89","ACSL1"
"90","IL6"
"91","INHBA"
"92","NEU4"
"93","ADA"
"94","ARRDC4"
"95","SLC7A11"
"96","SERPINB9"
"97","SPSB1"
"98","CCRL2"
"99","CXCL1"
"100","CCL3|LOC101060267|CCL3L1|CCL3L3"
"101","CCL3L1|CCL3L3|CCL3|LOC101060267"
"102","FPR2"
"103","ETV3L"
"104","IRG1"
"105","MSANTD3"
"106","KMO"
"107","PLAUR"
"108","SRC"
"109","LINC00189"
"110","MT2A"
"111","CCL4L1|LOC101060278|CCL4L2|CCL4"
"112","DUSP5"
"113","CXCL6"
"114","FFAR2"
"115","C15orf56"
"116","CXCL2"
"117","NAMPT"
"118","ZC3H12A"
"119","SH3BP5"
"120","AK4"
"121","DYRK3"
"122","CRIM1"
"123","C11orf96"
"124","CCL3|LOC101060267"
"125","FLT1"
"126","ZNF697"
"127","HCAR2|HCAR3"
"128","CD44"
"129","NFYC"
"130","EPB41L5"
"131","CCL3L3|CCL3|CCL3L1|LOC101060267"
"132","OR5K1|OR5K2|OR5K4"
"133","ST20|BCL2A1"
"134","GH2|CSH1|CSH2|LOC100996784|CSHL1|GH1"
"135","CCL4|LOC101060278|CCL4L1|CCL4L2"
"136","HCAR3|HCAR2"
"137","LOC100507855"
