"","x"
"1","PTAFR"
"2","XDH"
"3","ATF3"
"4","KCNJ1"
"5","IL8"
"6","IL12B"
"7","CD80"
"8","IFNG"
"9","MYBPH"
"10","GP1BA"
"11","SERPIND1"
"12","SDC2"
"13","KCNJ2"
"14","IL1A"
"15","PGC"
"16","ERBB4"
"17","TCN1"
"18","PTX3"
"19","LCT"
"20","MMP10"
"21","MMP14"
"22","DEFA4"
"23","NDP"
"24","PLIN2"
"25","TMEM98"
"26","KIAA1239"
"27","KIAA1045"
"28","SESN2"
"29","A1CF"
"30","NOTCH3"
"31","GPR68"
"32","SYDE1"
"33","ANGPTL4"
"34","NINJ1"
"35","TMEM176A"
"36","CDC42EP2"
"37","ASAP2"
"38","LINC00607"
"39","GALNT13"
"40","SRPX"
"41","NDNF"
"42","TTC22"
"43","RSAD2"
"44","GAL3ST1"
"45","ADAMTSL3"
"46","S100A12"
"47","MAMLD1"
"48","HSD3B7"
"49","ACVR2B"
"50","SLC31A2"
"51","previous version conserved probe"
"52","KIRREL3"
"53","NRIP3"
"54","SEMA3F"
"55","ARHGEF28"
"56","TMEM158"
"57","AMZ1"
"58","MSC"
"59","METTL1"
"60","DNAJC6"
"61","GPR6"
"62","C1orf122"
"63","FLRT2"
"64","CCL19"
"65","LOC644135"
"66","HAS1"
"67","CDK14"
"68","RHBDF1"
"69","PYDC1"
"70","GPC4"
"71","SEMA3G"
"72","NETO1"
"73","MYO10"
"74","F3"
"75","C9orf9"
"76","EMILIN1"
"77","BNC1"
"78","SPHK1"
"79","GLA"
"80","SQLE"
"81","IL19"
"82","CDKN2B"
"83","CYP1A1"
"84","CCL1"
"85","VEGFA"
"86","CKAP4"
"87","CCL20"
"88","STX1A"
"89","SERPINB2"
"90","UCHL1"
"91","SLC38A3"
"92","BTG3"
"93","KNG1"
"94","CD276"
"95","KANK4"
"96","C7"
"97","GEM"
"98","FEZ1"
"99","G6PD"
"100","KDM5D"
"101","LYN"
"102","IL1RN"
"103","MMP1"
"104","GNG11"
"105","KCNB1"
"106","FAM126A"
"107","GML"
"108","ITGB3"
"109","CIR1"
"110","CXCL3"
"111","CXCL5"
"112","C1orf54"
"113","LLGL1"
"114","CCL22"
"115","CD70"
"116","MS4A3"
"117","AQP9"
"118","NKX3-2"
"119",NA
"120","IL22RA1"
"121","PI3"
"122","S100A9"
"123","TMEM61"
"124","C7orf62"
"125","MAGEB4"
"126","ACMSD"
"127","EREG"
"128","UTY"
"129","COL17A1"
"130","DOCK4"
"131","STX11"
"132","PRR18"
"133","GPC3"
"134","SPAM1"
"135","KCNE1"
"136","SLC9A3"
"137","DNAJB3|LOC100286922"
"138","LHFPL3-AS2"
"139","C21orf54"
"140","IL1B"
"141","SEPT12"
"142","HOXC11"
"143","BIRC3"
"144","OR51E1"
"145","TLL1"
"146","TNFSF14"
"147","TNFRSF4"
"148","GPR37L1"
"149","SLAMF7"
"150","SRXN1"
"151","SERPINB7"
"152","PKHD1"
"153","ADAMDEC1"
"154","LOC100505985"
"155","FLJ30375"
"156","KCNE1L"
"157","LOC147646"
"158","NEURL3"
"159","TMEM179"
"160","KLF9"
"161","ICAM5"
"162","LRRC32"
"163","MMP9"
"164","WNT5A"
"165","PHLDA2"
"166","MMP19"
"167","CYP1B1"
"168","CMTM8"
"169","ZFP57"
"170","TNN"
"171","PRR16"
"172","PRKACG"
"173","ZNF366"
"174","TMSB4Y"
"175","PROX1"
"176","DEGS2"
"177","TNFRSF21"
"178","PASD1"
"179","DIRAS2"
"180","FGFR4"
"181","MPDZ"
"182","TGFA"
"183","SEMA7A"
"184","PVR"
"185","COL1A1"
"186","KU-MEL-3"
"187","OLIG2"
"188","C19orf59"
"189","COL10A1"
"190","UBTD2"
"191","LONRF1"
"192","LPL"
"193","SQSTM1"
"194","SLC1A5"
"195","VNN3"
"196","PVRL2"
"197","SLC7A5"
"198","CXorf28"
"199","TMEM176B"
"200","FCAR"
"201","PTGS2"
"202","CYP27B1"
"203","NAALAD2"
"204","LCN2"
"205","TNIP3"
"206","IL36G"
"207","DCSTAMP"
"208","TNFRSF18"
"209","ANKRD22"
"210","LOC154092"
"211","SLC22A13"
"212","NDUFB4"
"213","BCL2A1"
"214","PCDHB9"
"215","HEY1"
"216","FEV"
"217","COL5A3"
"218","SLCO4A1"
"219","IBA57"
"220","MYOZ1"
"221","SLC41A2"
"222","TNF"
"223","NKX2-3"
"224","SLC2A6"
"225","TIMP3"
"226","EPB41L5"
"227","NRIP2"
"228","NRXN3"
"229","CCL24"
"230","HOXA3"
"231","RASD2"
"232","DACT2"
"233","DNMT3B"
"234","SLPI"
"235","COPG2"
"236","FAM118A"
"237","PHLDA3"
"238","CCL8"
"239","SLITRK4"
"240","TAS2R13"
"241","DHRS2"
"242","MS4A12"
"243","OLFM4"
"244","PLAT"
"245","HSD11B1"
"246","IRAK3"
"247","LIMK2"
"248","IL36A"
"249","GLIS3-AS1"
"250","TREM1"
"251","PCDHB6"
"252","SLC25A37"
"253","FANCA"
"254","SLC39A8"
"255","C3"
"256","ST6GALNAC2"
"257","SLC38A11"
"258","ZSWIM4"
"259","GPR84"
"260","ANGPTL6"
"261","DCUN1D3"
"262","GJB2"
"263","ASPHD1"
"264","CD82"
"265","UROC1"
"266","CDH12"
"267","RIPPLY1"
"268","MOGAT1"
"269","GZMH"
"270","LOC153910"
"271","FLJ30838"
"272","DCST1"
"273","ADAMTS14"
"274","RAX2"
"275","TMC2"
"276","LOC100507194"
"277","SMIM18"
"278","ITGB8"
"279","MYL4"
"280","TSPO2"
"281","BPIFA3"
"282","PAX1"
"283","LYPD1"
"284","SRG7"
"285","INHBC"
"286","PIK3AP1"
"287","C10orf126"
"288","LOC389199"
"289","ZSCAN23"
"290","C9orf62"
"291","DRD5|LOC101060524|LOC101060475|LOC100996734|LOC100996730"
"292","PPIF"
"293","CHI3L1"
"294","FABP4"
"295","PNPLA1"
"296","MAP1LC3A"
"297","C3orf43"
"298","TMEM63B"
"299","CTSW"
"300","CCNA1"
"301","FAM195A"
"302","IRAK2"
"303","G0S2"
"304","LYG2"
"305","CEACAM6"
"306","LAMB3"
"307","SLAMF8"
"308","ZNF346"
"309","ADAD2"
"310","SRD5A3"
"311","COL27A1"
"312","LAMB4"
"313","EGFEM1P"
"314","TYMS"
"315","CD109"
"316","VASH2"
"317","WDR64"
"318","P2RX7"
"319","P4HA2"
"320","GPR113"
"321","CHGA"
"322","IL2RA"
"323","MSANTD3|MSANTD3-TMEFF1"
"324","THBS1"
"325","EPN3"
"326","ZFY"
"327","TNFRSF9"
"328","ADORA2A"
"329","ANKRD24"
"330","ITGB1BP1"
"331","HECW2"
"332","CASP5"
"333","UGT3A1"
"334","FERMT2"
"335","CA12"
"336","EFCAB4B"
"337","PTGR1"
"338","KCNA6"
"339","PDGFRB"
"340","LOC283050"
"341","PKD2L2"
"342","TRIM42"
"343","SLC1A2"
"344","TNIP1"
"345","MYOF"
"346","RAB8B"
"347","RAI14"
"348","DLL1"
"349","ZIC2"
"350","CDKN1A"
"351","KRT4"
"352","ATP13A3"
"353","CCND1"
"354","SLC2A4"
"355","MICALL2"
"356","TMEM38A"
"357","PLD1"
"358","CCM2L"
"359","SOD2"
"360","ICAM1"
"361","NMB"
"362","IFI44L"
"363","PLD4"
"364","TNFAIP6"
"365","SPINK1"
"366","IL24"
"367","TMEM38B"
"368","SGSM1"
"369","ASPH"
"370","KCNJ16"
"371","STRIP2"
"372","SERPINE1"
"373","CRHR1"
"374","DUSP4"
"375","PTPN1"
"376","SNX10"
"377","MET"
"378","HTR2A"
"379","GRM4"
"380","ETV4"
"381","TXNRD1"
"382","SQRDL"
"383","RGS6"
"384","GPHA2"
"385","POLE"
"386","GLIS3"
"387","EPHB4"
"388","PTPN21"
"389","PDE4C"
"390","BHLHE41"
"391","NXN"
"392","LTF"
"393","PTPRE"
"394","TFPI2"
"395","PANX2"
"396","DDR2"
"397","ADM"
"398","LHX9"
"399","CD274"
"400","KYNU"
"401","GPRC5C"
"402","CCDC37"
"403","IL3RA"
"404","EIF1AY"
"405","TMPRSS9"
"406","RILPL2"
"407","MTF1"
"408","CCDC148"
"409","CD40"
"410","C19orf55"
"411","UCN3"
"412","SLC25A10"
"413","C22orf42"
"414","EDN1"
"415","ALAS1"
"416","ACSL1"
"417","C15orf37"
"418","FLJ40288"
"419","IL6"
"420","CNTN3"
"421","TGM2"
"422","SSTR2"
"423","CNPY1"
"424","VPS37C"
"425","INHBA"
"426","CD1B"
"427","MMP7"
"428","GADD45G"
"429","CDCA3"
"430","GGH"
"431","TIE1"
"432","TFF3"
"433","UHRF1"
"434","SOHLH2|CCDC169-SOHLH2"
"435","PROM2"
"436","MEP1A"
"437","NEU4"
"438","LOC101060623|GNRHR2"
"439","PGD"
"440","ADA"
"441","CES1|LOC100653057|LOC100653086|CES1P2"
"442","FOLR3"
"443","LCN1"
"444","ARRDC4"
"445","SLC7A11"
"446","S100A16"
"447","LPAR1"
"448","WARS"
"449","MLL4"
"450","SERPINB9"
"451","ADRA2C"
"452","PCDH10"
"453","TMEM121"
"454","RETN"
"455","SERPINA1"
"456","MGC13053"
"457","SLC13A1"
"458","ANKRD30A"
"459","NKX6-1"
"460","MFSD12"
"461","CLCN6"
"462","FSIP2"
"463","NRG2"
"464","GNG5"
"465","SPSB1"
"466","CCRL2"
"467","SPP1"
"468","SLC6A3"
"469","CXCL1"
"470","GREM1"
"471","MTHFD1L"
"472","CCL3|LOC101060267|CCL3L1|CCL3L3"
"473","GNRH2"
"474","GRHL3"
"475","IGFN1"
"476","PYY2"
"477","BTNL3"
"478","C14orf166B"
"479","NKD2"
"480","CLDN6"
"481","SDC4"
"482","HBG2|HBG1"
"483","HP|HPR"
"484","ADAMTSL4"
"485","CTNND2"
"486","BCAT1"
"487","OLR1"
"488","NCF1C|NCF1|NCF1B"
"489","PSG5"
"490","SPIC"
"491","DEFA1B|DEFA3|DEFA1"
"492","CCL3L1|CCL3L3|CCL3|LOC101060267"
"493","LOC100996872"
"494","CEACAM8"
"495","FPGS"
"496","SLC6A6"
"497","KCNJ18"
"498","S1PR3"
"499","KCNN4"
"500","PRAP1"
"501","LGALS13"
"502","ACOT4|LOC644189"
"503","SMTNL1"
"504","KLRC2|KLRC1"
"505","EIF4E"
"506","NPTX1"
"507","LINC00083"
"508","FPR2"
"509","FAM129B"
"510","SYCP1"
"511","HTR1B"
"512","ETV3L"
"513","ANKRD45"
"514","SLC5A4"
"515","LOC388780"
"516","SYPL2"
"517","IRG1"
"518","MSANTD3"
"519","KMO"
"520","SSX3|SSX2|SSX2B|SSX1|SSX6|SSX8|SSX4|SSX4B|SSX5"
"521","PLAUR"
"522","TPBGL"
"523","FOXB1|FOXB2"
"524","PMCHL1"
"525","TNFRSF1B"
"526","C12orf70"
"527","FBXO6"
"528","PAPLN"
"529","RELB"
"530","FDCSP"
"531","ARSH"
"532","RPS4Y2"
"533","RLN1"
"534","IRX6"
"535","TMIGD1"
"536","MRGPRX3"
"537","IGSF23"
"538","MGST1"
"539","VASP"
"540","TM4SF19|TM4SF19-TCTEX1D2"
"541","RNF144B"
"542","ALDH1A2"
"543","SRC"
"544","LOC100509091"
"545","C1orf100"
"546","LOC729461|LOC642633|LOC729444"
"547","BARHL2"
"548","KRTAP10-9|KRTAP10-11|KRTAP10-1|KRTAP10-6"
"549","TP53TG3C|TP53TG3B|TP53TG3|TP53TG3D"
"550","CES1|LOC100653057"
"551","LOC100130301"
"552","EYS"
"553","TBPL2"
"554","PRR25"
"555","ORM1|ORM2"
"556","FLG"
"557","OR2B6"
"558","OR1A2"
"559","RAD9A"
"560","SEC61A2"
"561","ARID3C"
"562","FOLH1|FOLH1B"
"563","KRTAP5-5"
"564","NCF1|NCF1B|NCF1C"
"565","ZFX"
"566","ZNRF3"
"567","CCDC103"
"568","ZNF365"
"569","SH3PXD2B"
"570","PROCR"
"571","MMP16"
"572","ATP6AP1L"
"573","RPS4Y1"
"574","PCDP1"
"575","SIGLEC15"
"576","ZNF629"
"577","FOSL2"
"578","CCL2"
"579","MLIP"
"580","LOC100287314"
"581","KDM4E"
"582","TWIST2"
"583","PRAMEF15|PRAMEF9|PRAMEF4|PRAMEF11"
"584","STEAP1B"
"585","OR1F2P"
"586","LOC100509620|AQP7"
"587","CD177"
"588","LOC442132"
"589","XIRP2"
"590","LINC00189"
"591","GK3P"
"592","ZNF28"
"593","DTX4"
"594","MT2A"
"595","TRIM25"
"596","SVEP1"
"597","CLEC6A"
"598","CCL4L1|LOC101060278|CCL4L2|CCL4"
"599","MIR155HG"
"600","GPR150"
"601","MT1E"
"602","UGT2B28|UGT2B11"
"603","SLC11A1"
"604","TXNDC2"
"605","ZBED2"
"606","IL36RN"
"607","TXN"
"608","TRIM36"
"609","PRKAR1B"
"610","FBXW11"
"611","WWC2"
"612","HK2"
"613","RPL26"
"614","HDGFL1"
"615","VWC2L"
"616","KRTAP19-6"
"617","ZNF280A"
"618","DKKL1"
"619","C20orf118"
"620","TPRX1"
"621","CKB"
"622","DUSP5"
"623","FMO6P"
"624","UNC13A"
"625","UFL1"
"626","LOC728024"
"627","FAM65C"
"628","ACAP1"
"629","FMO4"
"630","OR1I1"
"631","CXCL6"
"632","FFAR2"
"633","TXLNG2P"
"634","OR10G3"
"635","OR7G3"
"636","TEX36"
"637","C15orf56"
"638","OR51G2"
"639","OR52N2"
"640","CCL13"
"641","OR5AS1"
"642","C15orf60"
"643","NPW"
"644","FGF3"
"645","RFX8"
"646","OR51D1"
"647","OR6C74"
"648","OR5B21"
"649","DEFB135"
"650","NPS"
"651","C11orf93"
"652","TMEM14E"
"653","OR4E2"
"654","KBTBD13"
"655","ABCA17P"
"656","RPL36A"
"657","ACTL6B"
"658","DHCR24"
"659","CXCL2"
"660","TUBB4A"
"661","NAMPT"
"662","CCL7"
"663","ZC3H12A"
"664","PLIN5"
"665","ARHGDIG"
"666","SALL4"
"667","LDHAL6B"
"668","LRTOMT"
"669","ADH1B"
"670","TEAD4"
"671","IL4I1"
"672","TNNT1"
"673","SH3BP5"
"674","TCF7L2"
"675","FAIM"
"676","AK4"
"677","FTH1"
"678","GK"
"679","LOC100129697"
"680","REXO1L1"
"681","TMEM114"
"682","LOC100288814"
"683","LOC388820"
"684","OR4D2"
"685","DESI1"
"686","DYRK3"
"687","CSF2RA"
"688","CRIM1"
"689","ACSM5"
"690","RPL31"
"691","FSD2"
"692","PDLIM7"
"693","CAMKK2"
"694","CDCP1"
"695","OPRM1"
"696","CALCA"
"697","UBE2J1"
"698","LRRD1"
"699","C11orf96"
"700","OR7D4"
"701","KRT19"
"702","POTEG"
"703","HLA-L"
"704","ABCC9"
"705","TRIM5"
"706","AGAP3"
"707","PCDH1"
"708","GPSM1"
"709","ANTXR1"
"710","LOC100128130"
"711","C1orf226"
"712","DBNDD2"
"713","PCDHA1"
"714","C6orf25"
"715","PCDHA9"
"716","CSHL1"
"717","BRWD1-IT2"
"718","SNORA27"
"719","PKD1L2"
"720","LAIR2"
"721","LINC00696"
"722","SNORD36A"
"723","CARD14"
"724","RFPL3-AS1"
"725","SPRED3"
"726","NME1"
"727","PCDHGB6"
"728","TAF1L"
"729","CCL3|LOC101060267"
"730","IL1RAP"
"731","KCNJ11"
"732","POU3F4"
"733","OSMR"
"734","ADAMTS2"
"735","BCAR1"
"736","SPOCK2"
"737","KIAA0319"
"738","DLL3"
"739","OBSL1"
"740","BRI3"
"741","NCRNA00185"
"742","GALNTL1"
"743","SOWAHC"
"744","APOO"
"745","FRAS1"
"746","KLHL33"
"747","NOBOX"
"748","LINC00326"
"749","FMN1"
"750","RGS21"
"751","ACTR3C"
"752","NCF1B"
"753","HLA-G"
"754","KRTAP5-4"
"755","VENTXP7"
"756","KRTAP5-11"
"757","ZNF385C"
"758","GPR161"
"759","LINC00687"
"760","DCDC2C"
"761","SLCO1A2"
"762","SLC9A2"
"763","GJB4"
"764","PLEKHG2"
"765","NCAM1"
"766","ARHGAP28"
"767","MFAP5"
"768","ADAMTS18"
"769","NR5A2"
"770","TSPAN12"
"771","GJA3"
"772","WNT16"
"773","MMP24"
"774","MMP8"
"775","KREMEN1"
"776","KIAA1199"
"777","MUC5AC"
"778","DLX3"
"779","DSG1"
"780","PTER"
"781","THSD4"
"782","SH3TC2"
"783","ZFHX4"
"784","SLC4A1"
"785","NPAS3"
"786","TRMT61A"
"787","SPNS2"
"788","GTF2IRD1P1"
"789","RIMKLB"
"790","TTLL8"
"791","DGKG"
"792","AKNAD1"
"793","GLRA2"
"794","GSN"
"795","ALCAM"
"796","WFIKKN2"
"797","RASAL2"
"798","SGMS2"
"799","CYGB"
"800","ZNF697"
"801","AMPD3"
"802","SOGA1"
"803","OPN5"
"804","SOCS3"
"805","STEAP4"
"806","C12orf55"
"807","L1CAM"
"808","RRM2"
"809","HS3ST5"
"810","IAPP"
"811","MCTP2"
"812","ATG13"
"813","CACNA1B"
"814","CYP2B6|CYP2B7P1"
"815","PABPC1L2A"
"816","PRDM9|PRDM7"
"817","BPI"
"818","DDB1"
"819","RCN1"
"820","TDGF1|TDGF1P3"
"821","OR1D5"
"822","KRT16"
"823","MT1IP|MT1X|MT1E|MT1A|MT2A|MT1B|MT1L|MT1H"
"824","ARHGAP8|PRR5-ARHGAP8"
"825","HCAR2|HCAR3"
"826","CTRB2"
"827","SCGB2B2"
"828","ACSM4"
"829","RAET1L"
"830","PCDHA5"
"831","ACOT2"
"832","DNAJB3"
"833","XKR8"
"834","KRTAP22-2"
"835","KRTAP21-3"
"836","HES3"
"837","MITF"
"838","ADAM18"
"839","LOC100507003"
"840","CCDC179"
"841","LOC730268"
"842","LOC100287063"
"843","CD44"
"844","NBL1"
"845","BCL2L11"
"846","BSCL2"
