"","x"
"1","IL8"
"2","CD80"
"3","GIP"
"4","IL1A"
"5","PTX3"
"6","EMR1"
"7","NDP"
"8","FAM49A"
"9","PITPNB|LOC100996302"
"10","NINJ1"
"11","CDC42EP2"
"12","IL15RA"
"13","ASAP2"
"14",NA
"15","KIF13B"
"16","TTC22"
"17","previous version conserved probe"
"18","MAMLD1"
"19","STX11"
"20","BCL3"
"21","NRIP3"
"22","SLC12A8"
"23","MSC"
"24","MYO10"
"25","SOCS1"
"26","HAS1"
"27","F3"
"28","SPHK1"
"29","IL19"
"30","CDKN2B"
"31","CCL20"
"32","SERPINB2"
"33","BTG3"
"34","KANK1"
"35","KANK4"
"36","GEM"
"37","FEZ1"
"38","LYN"
"39","IL1RN"
"40","AMPD3"
"41","GCH1"
"42","CXCL3"
"43","AQP9"
"44","ATXN7"
"45","IL22RA1"
"46","DDIT4"
"47","PI3"
"48","EREG"
"49","IL1B"
"50","FSD1L"
"51","ZMYM1"
"52","NEURL3"
"53","WNT5A"
"54","MMP19"
"55","BACH1"
"56","BCL6"
"57","FOXE1"
"58","MAP2K3"
"59","VNN3"
"60","PVRL2"
"61","SLC7A5"
"62","FCAR"
"63","PTGS2"
"64","TNIP3"
"65","IL36G"
"66","BCL2A1"
"67","HEY1"
"68","SLCO4A1"
"69","CLEC4E"
"70","SLC41A2"
"71","SRSF12"
"72","TNFRSF1B"
"73","CCL8"
"74","IRAK3"
"75","LIMK2"
"76","SECISBP2"
"77","FOSL2"
"78","LRP12"
"79","GPR84"
"80","PLCXD2"
"81","ITGB8"
"82","PIK3AP1"
"83","PPIF"
"84","PNPLA1"
"85","MAP1LC3A"
"86","IRAK2"
"87","G0S2"
"88","S100A3"
"89","LAMB3"
"90","IL2RA"
"91","MSANTD3|MSANTD3-TMEFF1"
"92","THBS1"
"93","TNFRSF9"
"94","ADORA2A"
"95","CASP5"
"96","EIF4ENIF1"
"97","FERMT2"
"98","ETS2"
"99","TNIP1"
"100","GRAMD1A"
"101","DLL1"
"102","ABTB2"
"103","ATP13A3"
"104","FNIP2"
"105","CCM2L"
"106","SOD2"
"107","ICAM1"
"108","TNFAIP6"
"109","IL24"
"110","DUSP4"
"111","PTPN1"
"112","MET"
"113","MAP3K8"
"114","ADM"
"115","CD274"
"116","KYNU"
"117","TRIP10"
"118","WTAP"
"119","GNG4"
"120","MTF1"
"121","CCDC148"
"122","ANKRD37"
"123","EDN1"
"124","ACSL1"
"125","IL6"
"126","SLC8A3"
"127","INHBA"
"128","PFKFB3"
"129","NEU4"
"130","ADA"
"131","ARRDC4"
"132","SLC7A11"
"133","NFKB2"
"134","SERPINB9"
"135","ABL2"
"136","SPSB1"
"137","CCRL2"
"138","CXCL1"
"139","CCL3|LOC101060267|CCL3L1|CCL3L3"
"140","THRSP"
"141","CCL3L1|CCL3L3|CCL3|LOC101060267"
"142","PNRC1"
"143","FPR2"
"144","ETV3L"
"145","IRG1"
"146","MSANTD3"
"147","KMO"
"148","PLAUR"
"149","SAMSN1"
"150","SRC"
"151","NRARP"
"152","CSRP2"
"153","LOC440896"
"154","LINC00189"
"155","MT2A"
"156","CCL4L1|LOC101060278|CCL4L2|CCL4"
"157","AKAP2|PALM2-AKAP2"
"158","GBP1"
"159","DUSP5"
"160","CXCL6"
"161","FFAR2"
"162","USP12"
"163","C15orf56"
"164","ASMT"
"165","CXCL2"
"166","NAMPT"
"167","ZC3H12A"
"168","EBF1"
"169","SH3BP5"
"170","AK4"
"171","DYRK3"
"172","CRIM1"
"173","CCL23"
"174","C11orf96"
"175","CFLAR"
"176","CCL3|LOC101060267"
"177","FLT1"
"178","PTPRJ"
"179","ZNF697"
"180","PCDHGA6|PCDHGA2|PCDHGA3|PCDHGA11|PCDHGA1"
"181","HCAR2|HCAR3"
"182","CD44"
"183","SYNPO2"
"184","SPRY4"
"185","NFYC"
"186","EPB41L5"
"187","CCL3L3|CCL3|CCL3L1|LOC101060267"
"188","OR5K1|OR5K2|OR5K4"
"189","ST20|BCL2A1"
"190","GH2|CSH1|CSH2|LOC100996784|CSHL1|GH1"
"191","CCL4|LOC101060278|CCL4L1|CCL4L2"
"192","HCAR3|HCAR2"
"193","LOC100507855"
